#{"t_start": 1533002300.9014459, "env_id": "HalideBlur-v3"}
r,l,t,best_exec,best_schedule
0.406074,1,2.143803,0.100514668,"blur_y.tile(x, y, xi, yi, 128, 128); "
59.129475,2,4.0509,0.040239126,"blur_y.split(y, yi, 256); blur_y.unroll(x, 4); "
-10.0,11,5.024391,0.094367167,n/a
54.302687,8,8.105167,0.035044051,"blur_y.tile(x, y, xi, yi, 8, 64); blur_y.vectorize(x, 16); blur_x.compute_at(blur_y, x); "
47.133645,20,11.117914,0.032767784,"blur_y.tile(x, y, xi, yi, 512, 8); blur_y.unroll(x, 2); blur_y.unroll(xi, 4); "
33.20064,36,58.292595,0.034589664,n/a
43.244496,43,91.260952,0.021956633,"blur_y.tile(x, y, xi, yi, 32, 8); blur_y.vectorize(xi, 8); blur_y.unroll(xi, 4); blur_y.unroll(x, 4); blur_y.bound(y, 0, 2568); blur_y.unroll(x, 3); blur_y.unroll(x, 2); blur_x.compute_at(blur_y, yi); "
78.065879,3,92.920832,0.013649641,"blur_y.split(y, yi, 64); blur_y.parallel(y); "
76.407289,6,96.165652,0.011319456,"blur_y.bound(x, 0, 3848); blur_y.tile(x, y, xi, yi, 32, 512); blur_y.parallel(y); blur_y.unroll(xi, 3); "
-13.638345,80,110.184568,0.04202329,n/a
71.002405,32,125.348814,0.005043798,"blur_y.tile(x, y, xi, yi, 256, 64); blur_y.vectorize(xi, 4); blur_y.compute_root(); blur_y.unroll(x, 4); blur_x.compute_at(blur_y, yi); blur_x.unroll(x, 2); blur_y.unroll(xi, 2); blur_y.bound(x, 0, 3848); blur_y.parallel(y); "
60.703305,40,166.636231,0.012410377,n/a
27.011196,20,169.497071,0.047900435,n/a
50.541122,45,175.940658,0.009546325,n/a
69.400512,24,181.530892,0.004040388,"blur_y.split(y, yi, 32); blur_y.bound(y, 0, 2568); blur_y.unroll(x, 3); blur_y.compute_root(); blur_y.unroll(x, 4); blur_y.parallel(y); "
77.669941,7,186.12321,0.019252099,n/a
33.572926,51,191.223952,0.0133422,n/a
45.472045,55,195.723874,0.005579061,n/a
39.734501,38,202.255762,0.028526812,n/a
26.484241,39,213.898365,0.040890326,n/a
82.451827,7,216.211022,0.01266418,n/a
39.365838,50,231.693551,0.019341286,n/a
31.943203,38,235.72691,0.035380896,n/a
-5.090599,75,242.182897,0.036424255,n/a
6.599628,54,264.946102,0.043702135,n/a
60.601233,38,307.045007,0.012513393,n/a
38.16423,43,315.367083,0.013929355,n/a
39.890035,39,323.802803,0.029379085,n/a
79.89943,11,327.822113,0.008750973,n/a
-25.0,30,336.523169,0.036888281,n/a
33.403473,72,360.9328,0.004810109,n/a
39.757622,40,369.791665,0.030521968,n/a
32.618372,41,380.937334,0.03570873,n/a
77.485185,22,384.313644,0.003285125,"blur_y.tile(x, y, xi, yi, 512, 64); blur_y.parallel(y); blur_y.vectorize(xi, 4); blur_x.compute_at(blur_y, x); "
-4.068441,72,394.443075,0.034810572,n/a
47.692524,42,399.727524,0.016458238,n/a
84.763967,14,402.245341,0.004275195,n/a
69.792326,15,408.307961,0.020394493,n/a
39.036608,3,410.094191,0.051939286,n/a
12.184709,21,417.614989,0.073488465,n/a
34.28702,20,424.443806,0.046783952,n/a
54.974921,40,432.707795,0.010101355,n/a
78.929933,18,439.124845,0.010163164,n/a
