TimeElapsed,loss_vf_loss,EpisodesSoFar,EpRewMean,loss_pol_entpen,EpExecMean,EpLenMean,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_surr,EpThisIter,loss_kl
134.02106142044067,418.72784,11,39.932204011204576,-0.13101615,0.03922866163636363,22.0,0.00484919548034668,4.3672047,242,-0.13582784,11,0.03997673
200.03323650360107,229.66565,18,44.64584952035167,-0.13097775,0.03019923127777778,26.88888888888889,0.11971122026443481,4.365925,484,-0.10646124,7,0.016023468
247.63657069206238,279.42004,24,42.43809593890202,-0.12907429,0.02986724658333333,30.458333333333332,0.15612417459487915,4.3024764,731,-0.10754847,6,0.032483835
361.7961485385895,237.89287,31,40.389430068784826,-0.12734887,0.027960878999999998,32.83870967741935,0.1815536618232727,4.2449627,1018,-0.1144772,7,0.035698216
413.93454360961914,185.16202,39,42.02949987483713,-0.12446533,0.027286688615384618,32.48717948717949,0.404388964176178,4.1488442,1267,-0.104437396,8,0.05056745
482.2027733325958,272.17258,50,43.21402897786083,-0.12189804,0.028627199059999997,30.36,0.35198086500167847,4.0632687,1518,-0.11992639,11,0.045822367
535.1749560832977,294.5055,58,43.0061549105123,-0.11912661,0.027309854120689658,30.46551724137931,0.4439651370048523,3.9708872,1767,-0.10905272,8,0.06343533
595.7318844795227,361.2,66,45.59918927668042,-0.11622381,0.026063677075757574,29.727272727272727,0.5121327042579651,3.8741274,1962,-0.11113478,8,0.06502533
676.1306793689728,453.777,81,50.18364373313172,-0.112246804,0.0235188754691358,28.22222222222222,0.37850528955459595,3.7415602,2286,-0.10354288,15,0.0546837
732.1084694862366,252.93724,91,51.879874094575236,-0.115813516,0.021669869197802196,27.978021978021978,0.1901499629020691,3.8604505,2546,-0.097690694,10,0.044276543
811.2982985973358,300.77313,107,56.088914244169224,-0.11192319,0.01769307049,26.87,0.4496796727180481,3.730773,2808,-0.06670845,16,0.027209494
883.1738624572754,378.89594,123,58.98084411221631,-0.110936984,0.016300823630000003,24.09,0.5396090447902679,3.6978993,3065,-0.11512597,16,0.037788514
965.4268794059753,274.99188,137,64.05411666321326,-0.10582286,0.014468955920000002,20.7,0.5216882228851318,3.5274286,3319,-0.09668032,14,0.04901523
1058.162409067154,189.38954,155,69.54297252908749,-0.1050484,0.01031283802,18.63,0.6540136933326721,3.5016136,3566,-0.092510946,18,0.062125463
1149.0035784244537,293.60242,175,71.77022623843473,-0.099920504,0.00914689508,16.72,0.43259692192077637,3.3306832,3835,-0.083880454,20,0.047484588
1249.3095586299896,186.85657,196,73.8533991585155,-0.10151322,0.009466835880000002,14.63,0.6957039833068848,3.383774,4092,-0.06605082,21,0.033012122
1358.4108357429504,261.01758,225,77.57218020370397,-0.09953341,0.00853832952,12.65,0.7289838194847107,3.3177805,4351,-0.06450429,29,0.03606798
1460.700451374054,139.19386,247,80.11593389458194,-0.09829313,0.00811879012,11.31,0.7690159678459167,3.276438,4606,-0.057848874,22,0.035250816
1531.6715726852417,74.3694,262,79.22099279405865,-0.10873727,0.00843320861,11.95,0.7083573341369629,3.6245756,4864,-0.09273182,15,0.06805214
1629.7726111412048,112.14792,281,79.48575085636296,-0.09781323,0.008288969620000001,11.94,0.7667605876922607,3.260441,5103,-0.05451435,19,0.047530822
1703.038937330246,85.79378,297,77.20475088783202,-0.092998855,0.00778652509,12.66,0.4308905005455017,3.099962,5364,-0.08162935,16,0.05927083
1778.5119271278381,77.95536,315,75.68457668631805,-0.09398821,0.00773024279,13.65,0.7939889430999756,3.1329405,5629,-0.053705607,18,0.04860607
1860.5835311412811,85.1502,337,73.32703172637096,-0.09485088,0.007920841750000001,14.12,0.8416147232055664,3.1616962,5884,-0.053477243,22,0.035178818
1961.6755187511444,111.27426,364,75.35904914144926,-0.08936818,0.007277649590000002,12.51,0.8449688851833344,2.9789395,6135,-0.050928466,27,0.030149462
2085.20214676857,122.168945,395,79.67064159527733,-0.08588961,0.007270973479999998,10.6,0.8611376881599426,2.862987,6397,-0.048292406,31,0.07317328
2231.4474918842316,132.86324,429,83.60335120464708,-0.08663381,0.00752070217,8.58,0.8024662435054779,2.8877938,6651,-0.05077264,34,0.045056432
2353.1531722545624,91.70833,460,82.19314336927677,-0.094090395,0.00702310814,8.13,0.8775571063160896,3.1363466,6907,-0.06127855,31,0.043989986
2459.2175698280334,70.57204,485,81.35247192316918,-0.09233768,0.006891853320000001,8.74,0.8602553606033325,3.0779228,7160,-0.05705108,25,0.03492601
2558.9024455547333,59.853607,510,79.49584601819562,-0.08863532,0.006710248520000001,9.05,0.8989598006010056,2.9545107,7422,-0.061229244,25,0.051729195
2682.6735734939575,79.22778,540,80.41784494420463,-0.084609866,0.006639122820000001,9.04,0.8957391232252121,2.820329,7657,-0.067897476,30,0.08576616
2823.6801931858063,82.73469,579,81.53030938296685,-0.08404006,0.00701246914,8.33,0.9172598198056221,2.8013356,7933,-0.05443283,39,0.045108717
2955.9601612091064,67.653244,616,82.49536594089109,-0.08753963,0.0066724615300000015,7.16,0.9213105589151382,2.9179876,8187,-0.051324468,37,0.055333614
3082.435770750046,39.866524,646,82.41146265540925,-0.08363739,0.00619688365,7.25,0.9375416748225689,2.7879128,8448,-0.057015635,30,0.06915026
3226.4254937171936,71.05954,683,83.00143618373878,-0.08040713,0.0068496510600000015,7.47,0.9218444302678108,2.6802378,8702,-0.05654247,37,0.035684645
3354.617867708206,52.267735,723,82.84293908507603,-0.080003515,0.00760245074,7.02,0.9258589297533035,2.6667838,8953,-0.052889172,40,0.03772972
