loss_kl,EpThisIter,loss_pol_surr,EpExecMean,EpisodesSoFar,EpRewMean,ev_tdlam_before,TimestepsSoFar,loss_pol_entpen,loss_ent,TimeElapsed,loss_vf_loss,EpLenMean
0.04510812,8,-0.13897716,0.19574894125,8,40.80363742069312,0.018943488597869873,255,-0.13682063,4.5606875,141.5111105442047,504.1682,31.875
0.032847952,5,-0.12668343,0.21423981384615384,13,32.7041973913877,0.029760360717773438,505,-0.13566189,4.522063,336.61344623565674,255.1451,38.84615384615385
0.03870687,5,-0.12713055,0.1682682011666667,18,40.40650375388262,0.2579198479652405,706,-0.13423876,4.4746256,564.1571655273438,474.38507,39.22222222222222
0.04679243,4,-0.09649778,0.16700561386363638,22,36.894184606163876,0.29835498332977295,949,-0.13202429,4.4008102,702.3398339748383,208.18826,43.13636363636363
0.05066221,5,-0.11571704,0.1478700582962963,27,38.38744515992276,0.29455703496932983,1195,-0.13137576,4.379192,860.8741483688354,388.037,44.25925925925926
0.056962274,3,-0.10883621,0.1382796513666667,30,37.1632192436045,0.3849860429763794,1431,-0.12960023,4.3200073,1096.4937677383423,207.18396,47.7
0.059218254,4,-0.111265965,0.14036729117647057,34,32.544389927832064,0.4999464750289917,1766,-0.1264264,4.214213,1218.8865404129028,166.3652,51.94117647058823
0.06958215,7,-0.11465378,0.12347699607317075,41,35.59933621710818,0.429257869720459,2039,-0.12434334,4.1447783,1372.12166762352,388.68646,49.73170731707317
0.045350645,6,-0.10695941,0.11053943712765961,47,38.88298228281569,0.5425167977809906,2297,-0.12300519,4.100173,1439.827163696289,369.1991,48.87234042553192
0.049517725,8,-0.093844704,0.09852357878181817,55,43.02347553975045,0.5449711084365845,2542,-0.12194794,4.064931,1531.9110860824585,333.5821,46.21818181818182
0.053010233,10,-0.106417686,0.1021727468,65,44.50245016051134,0.47598809003829956,2807,-0.12302216,4.1007385,1673.0476851463318,391.142,43.184615384615384
0.03838452,7,-0.07609176,0.10023037266666668,72,46.42627974109449,0.4526102542877197,3034,-0.120389245,4.0129747,1774.9775388240814,263.21985,42.138888888888886
0.06741823,5,-0.103709914,0.09859429610389613,77,46.02575946424293,0.4615296721458435,3326,-0.121782646,4.0594215,1960.6296989917755,163.21608,43.1948051948052
0.04948639,7,-0.081904046,0.09333478063095237,84,48.05289295518894,0.6294390857219696,3566,-0.11828099,3.9427,2095.4836683273315,122.152435,42.45238095238095
0.04765079,12,-0.09495832,0.08707359163541667,96,50.64607406444742,0.5292701423168182,3834,-0.11190486,3.7301621,2216.681544303894,273.0728,39.9375
0.06666917,10,-0.08557953,0.07276938987,106,53.76678279426012,0.5966888070106506,4066,-0.1163218,3.8773937,2320.985635995865,167.28479,39.22
0.050685354,11,-0.09287413,0.06422799921,117,57.95628274837536,0.50970858335495,4340,-0.11561276,3.8537588,2527.264442205429,261.88293,36.54
0.04417264,15,-0.077945575,0.055118621570000005,132,66.98567596691846,0.5180118978023529,4574,-0.11209374,3.7364583,2686.4124352931976,375.83075,28.99
0.09460452,0,-0.116753295,0.055118621570000005,132,66.98567596691846,0.1086227297782898,4574,-0.12707467,4.235822,2789.3680493831635,8.551729,28.99
0.05801872,11,-0.07499429,0.058227282229999996,143,65.65318581271737,0.5094928443431854,5104,-0.116262235,3.8754077,2950.6134598255157,226.35062,30.37
0.08244139,9,-0.08633468,0.06098909993999999,152,66.79007778218893,0.6425670981407166,5367,-0.11689627,3.8965423,3056.4405567646027,165.94112,29.27
0.057685748,15,-0.089555785,0.05870136695,167,68.88668120092741,0.6412659883499146,5625,-0.11216997,3.7389994,3246.609766960144,169.22957,27.55
0.044420235,15,-0.082291156,0.062412899689999995,182,71.71545746024873,0.684329092502594,5884,-0.11079829,3.6932764,3422.9707939624786,169.98485,23.76
0.05777728,18,-0.07734268,0.06216748582999999,200,74.32926467942592,0.658261239528656,6142,-0.10539049,3.5130162,3612.6579763889313,272.28836,22.04
0.043609187,18,-0.049580462,0.06561124777,218,73.85648044557274,0.5430625081062317,6398,-0.10904431,3.6348104,3786.645592212677,273.91858,20.37
0.07832269,19,-0.058404077,0.06414269576,237,77.51854645401181,0.7657391875982285,6648,-0.09967521,3.3225071,3953.105012655258,161.58014,16.31
0.053742915,28,-0.07565643,0.05222554622,265,82.60352885242133,0.7534304410219193,6912,-0.09392001,3.1306672,4163.266103506088,315.39502,13.22
0.04668328,22,-0.069359615,0.04030327799999999,287,85.37414216291603,0.7302680909633636,7156,-0.09657865,3.2192883,4374.808369874954,241.60806,11.94
0.075984426,28,-0.04945996,0.03627039228000001,315,87.42177325364283,0.7659136950969696,7391,-0.0893704,2.9790132,4635.034513950348,275.70743,10.69
0.096276745,2,-0.09140967,0.03567046754,317,86.11245366479896,0.6347056329250336,7610,-0.119257234,3.9752414,4713.083555459976,21.907095,12.23
0.07967582,0,-0.074174315,0.03567046754,317,86.11245366479896,0.42112016677856445,7610,-0.11961022,3.9870076,4788.0786809921265,5.930211,12.23
0.10994148,0,-0.06285466,0.03567046754,317,86.11245366479896,0.7202912271022797,7610,-0.11965164,3.988388,4860.886279582977,12.384276,12.23
0.17704633,0,0.009213112,0.03567046754,317,86.11245366479896,0.02025282382965088,7610,-0.10745662,3.5818872,4900.907761096954,4.232343,12.23
0.07951134,0,-0.041109648,0.03567046754,317,86.11245366479896,-0.23160505294799805,7610,-0.102564,3.4188,4901.343713283539,23.034395,12.23
0.061531927,0,-0.03918279,0.03567046754,317,86.11245366479896,-0.0511929988861084,7610,-0.10396951,3.4656503,4901.804548501968,2.2185209,12.23
