TimeElapsed,EpThisIter,EpLenMean,loss_pol_entpen,loss_kl,loss_vf_loss,EpisodesSoFar,ev_tdlam_before,TimestepsSoFar,EpExecMean,loss_ent,EpRewMean,loss_pol_surr
744.6176416873932,1,124.0,-0.21651037,0.009117438,149.06094,1,-0.029960989952087402,124,0.308661457,7.2170124,-135.0,-0.11864668
1423.8095552921295,1,182.0,-0.21567434,0.027654756,74.817604,2,0.3208494186401367,364,0.308661457,7.189144,-185.0,-0.12109065
2193.6932101249695,1,188.0,-0.21560714,0.016485162,74.54237,3,0.24483031034469604,564,0.308661457,7.186905,-189.66666666666666,-0.14896886
3069.6359102725983,1,192.5,-0.21464494,0.026455864,32.07743,4,0.5110540986061096,770,0.308661457,7.154832,-192.5,-0.15583393
3876.4902124404907,2,187.83333333333334,-0.21431819,0.02652084,133.91646,6,-0.2060943841934204,1127,0.28455244399999996,7.14394,-177.02250614605677,-0.1193436
4554.824177980423,1,209.0,-0.21276173,0.05714331,46.11892,7,0.5911868214607239,1463,0.28799658871428574,7.0920577,-196.30500526804866,-0.13251448
5459.638372898102,2,187.77777777777777,-0.21182913,0.052003548,96.53642,9,0.3225724697113037,1690,0.2549409,7.0609713,-161.48452699604653,-0.14457801
6250.94384098053,2,178.63636363636363,-0.213041,0.03704629,76.46959,11,0.4413408041000366,1965,0.22557567590909092,7.101366,-143.26372419676028,-0.13414136
6963.010381221771,1,188.25,-0.21140683,0.071976826,82.093216,12,-0.8913336992263794,2259,0.21901983808333333,7.046894,-150.29128195836472,-0.14455107
7884.888706684113,1,190.6153846153846,-0.21070336,0.053145975,47.594666,13,0.21141588687896729,2478,0.21044930123076921,7.023446,-148.488962258339,-0.12863031
8687.240834474564,1,189.14285714285714,-0.21051338,0.05258722,27.578857,14,0.4124813675880432,2648,0.2174644552142857,7.0171127,-149.88260781131478,-0.14749885
9444.503005504608,1,195.06666666666666,-0.20590353,0.07640396,36.725113,15,-0.02492082118988037,2926,0.2200834568,6.863451,-156.90253933843124,-0.16232073
10116.376599550247,1,196.5,-0.20810834,0.10529235,21.52095,16,-0.15832579135894775,3144,0.22214070018749998,6.936945,-159.84404412574585,-0.16134892
10824.65715622902,1,200.64705882352942,-0.20400164,0.06555705,9.503901,17,-1.940134048461914,3411,0.2241450492352941,6.800055,-164.91252987573375,-0.16206792
11555.676735162735,1,203.5,-0.19909206,0.09553839,69.12896,18,-0.36568212509155273,3663,0.22559334427777777,6.636402,-168.47651909397075,-0.13622324
12103.160680294037,1,214.73684210526315,-0.19606751,0.1462191,158.71898,19,-0.6402106285095215,4080,0.21686890021052632,6.5355835,-175.36635189840644,-0.10252161
12977.302473783493,1,214.4,-0.20538408,0.05972066,73.57411,20,0.2156643271446228,4288,0.2188150984,6.846136,-174.54161715451892,-0.12775774
13574.833158254623,1,218.9047619047619,-0.20517042,0.09399045,27.855492,21,0.08912330865859985,4597,0.21140167980952382,6.8390136,-176.5374401818217,-0.13948503
14157.763706445694,0,218.9047619047619,-0.20538212,0.051156662,39.32522,21,0.6206977367401123,4597,0.21140167980952382,6.8460712,-176.5374401818217,-0.14598793
14437.47585606575,0,218.9047619047619,-0.20206434,0.17568414,12.075856,21,0.5229008495807648,4597,0.21140167980952382,6.7354784,-176.5374401818217,-0.12883765
15154.794155836105,1,233.77272727272728,-0.20576806,0.044007406,117.5972,22,0.4642563462257385,5143,0.20340157004545453,6.858936,-187.98885826227405,-0.10855206
15784.244819164276,1,237.17391304347825,-0.20621349,0.076846935,43.30577,23,0.5087898075580597,5455,0.1994449426521739,6.873783,-189.7899958516968,-0.13433535
16475.266477108,1,242.5,-0.20540766,0.05222135,87.38771,24,0.6570932865142822,5820,0.192825425375,6.846922,-192.9714945782816,-0.09766422
17292.953483104706,2,236.30769230769232,-0.20846614,0.05292394,75.73744,26,0.09211277961730957,6144,0.18869389465384617,6.9488716,-185.55604003672093,-0.12666243
17944.26200890541,0,236.30769230769232,-0.20882335,0.055200126,30.957369,26,0.84035724401474,6144,0.18869389465384617,6.960778,-185.55604003672093,-0.1483162
18837.883998394012,2,236.57142857142858,-0.20341562,0.08745958,59.913677,28,0.6837232410907745,6624,0.18830552496428574,6.780521,-186.5428535620269,-0.11253795
19670.734358787537,1,234.79310344827587,-0.20493205,0.06330535,88.13248,29,0.05898088216781616,6809,0.1924557295172414,6.8310685,-186.52413447368113,-0.11307646
20326.846356153488,1,232.66666666666666,-0.20546736,0.09653714,24.292088,30,4.4345855712890625e-05,6980,0.18920625070000002,6.848912,-183.86562266168096,-0.14746623
20941.154264211655,1,234.80645161290323,-0.20326601,0.077390596,28.34293,31,0.56447434425354,7279,0.18655969870967745,6.7755337,-185.02217243292418,-0.13728702
21719.592956781387,1,237.78125,-0.19906975,0.1625366,56.23654,32,-2.6544222831726074,7609,0.19037537865624998,6.6356587,-189.0527295443953,-0.15410551
22603.67769384384,1,235.93939393939394,-0.20176806,0.11001676,36.80085,33,0.17591094970703125,7786,0.18543545863636363,6.725602,-185.98638738746646,-0.11885202
23214.999178409576,1,239.52941176470588,-0.20031434,0.09582178,45.708374,34,-1.0492699146270752,8144,0.1820322365,6.6771455,-188.00413386614406,-0.13782361
23959.912115335464,1,239.65714285714284,-0.19901942,0.075091705,22.554869,35,0.6575303077697754,8388,0.17978512085714285,6.6339808,-187.3324168719536,-0.1182168
