#{"t_start": 1533146189.7644684, "env_id": "HalideInterpolate-v2"}
r,l,t,best_exec,best_schedule
-187.0,213,770.9386,0.318028641,n/a
0.770755,1,776.944902,0.314710969,"interpolated[4].vectorize(x, 4); downsampled[4].tile(x, y, xi, yi, 16, 256); "
-0.747999,10,806.105975,0.314046919,"interpolated[8].tile(x, y, xi, yi, 64, 64); downsampled[2].tile(x, y, xi, yi, 32, 256); downsampled[5].tile(x, y, xi, yi, 512, 256); interpolated[3].tile(x, y, xi, yi, 64, 64); interpolated[2].tile(x, y, xi, yi, 8, 128); interpolated[2].vectorize(x, 8); downsampled[7].tile(x, y, xi, yi, 16, 8); interpolated[1].unroll(x, 4); downsampled[8].split(y, yi, 64); "
-10.231551,39,869.980411,0.280601604,"interpolated[4].tile(x, y, xi, yi, 32, 8); interpolated[7].tile(x, y, xi, yi, 128, 128); interpolated[4].unroll(c, 3); downsampled[2].tile(x, y, xi, yi, 8, 32); interpolated[8].tile(x, y, xi, yi, 64, 64); downsampled[7].parallel(c); downsampled[2].parallel(y); interpolated[8].parallel(c); downsampled[4].tile(x, y, xi, yi, 128, 128); downsampled[5].tile(x, y, xi, yi, 512, 256); downsampled[3].tile(x, y, xi, yi, 64, 128); interpolated[3].tile(x, y, xi, yi, 8, 256); downsampled[8].tile(x, y, xi, yi, 64, 512); interpolated[6].tile(x, y, xi, yi, 512, 32); downsampled[7].tile(x, y, xi, yi, 256, 64); interpolated[3].unroll(xi, 4); interpolated[7].unroll(x, 3); normalize.unroll(x, 2); "
-262.0,305,1542.618676,0.318028641,n/a
3.468533,20,1579.622648,0.278375135,"interpolated[6].tile(x, y, xi, yi, 256, 16); downsampled[6].tile(x, y, xi, yi, 64, 64); interpolated[7].tile(x, y, xi, yi, 32, 128); downsampled[7].unroll(x, 4); interpolated[2].split(y, yi, 64); interpolated[3].tile(x, y, xi, yi, 16, 32); downsampled[1].tile(x, y, xi, yi, 16, 32); downsampled[3].tile(x, y, xi, yi, 64, 128); normalize.unroll(x, 2); interpolated[3].unroll(xi, 2); downsampled[5].unroll(x, 4); "
-85.818539,137,1754.204444,0.278184467,"downsampled[5].tile(x, y, xi, yi, 32, 128); normalize.tile(x, y, xi, yi, 64, 64); downsampled[1].tile(x, y, xi, yi, 32, 512); interpolated[3].tile(x, y, xi, yi, 512, 512); downsampled[8].tile(x, y, xi, yi, 128, 8); interpolated[6].unroll(c, 4); interpolated[2].tile(x, y, xi, yi, 256, 8); downsampled[7].tile(x, y, xi, yi, 16, 256); downsampled[3].unroll(x, 2); interpolated[3].vectorize(xi, 16); interpolated[1].tile(x, y, xi, yi, 128, 64); interpolated[1].unroll(xi, 4); downsampled[2].parallel(y); interpolated[5].tile(x, y, xi, yi, 64, 256); downsampled[6].tile(x, y, xi, yi, 8, 32); interpolated[8].split(y, yi, 256); downsampled[4].tile(x, y, xi, yi, 8, 16); downsampled[8].parallel(c); interpolated[6].tile(x, y, xi, yi, 128, 8); interpolated[4].split(y, yi, 64); downsampled[3].tile(x, y, xi, yi, 512, 512); interpolated[7].tile(x, y, xi, yi, 8, 256); interpolated[1].vectorize(xi, 8); downsampled[2].split(y, yi, 256); interpolated[2].parallel(y); interpolated[6].vectorize(xi, 16); interpolated[5].vectorize(x, 4); downsampled[6].unroll(xi, 4); downsampled[8].vectorize(xi, 16); downsampled[8].unroll(x, 3); downsampled[3].parallel(c); interpolated[5].unroll(xi, 2); interpolated[7].vectorize(xi, 16); normalize.bound(x, 0, 3848); interpolated[8].unroll(x, 4); interpolated[6].unroll(xi, 2); interpolated[7].unroll(c, 3); downx[6].compute_at(downsampled[6], yi); downsampled[1].vectorize(x, 4); interpolated[4].vectorize(x, 8); normalize.vectorize(xi, 4); "
-130.373835,133,1958.801801,0.316037256,n/a
-271.08042,364,2596.759536,0.279358849,n/a
16.839633,4,2613.151974,0.264473785,"interpolated[2].tile(x, y, xi, yi, 8, 256); downsampled[1].tile(x, y, xi, yi, 512, 32); interpolated[4].tile(x, y, xi, yi, 8, 256); interpolated[8].tile(x, y, xi, yi, 8, 64); normalize.unroll(x, 4); "
-187.990627,255,2898.554302,0.254393104,"interpolated[2].tile(x, y, xi, yi, 64, 512); interpolated[8].tile(x, y, xi, yi, 64, 8); downsampled[7].unroll(x, 2); downsampled[5].tile(x, y, xi, yi, 512, 256); downsampled[8].tile(x, y, xi, yi, 256, 32); interpolated[1].tile(x, y, xi, yi, 16, 512); downsampled[4].tile(x, y, xi, yi, 512, 512); downsampled[3].tile(x, y, xi, yi, 256, 64); interpolated[3].tile(x, y, xi, yi, 128, 512); downsampled[2].tile(x, y, xi, yi, 512, 8); interpolated[7].tile(x, y, xi, yi, 512, 256); interpolated[4].tile(x, y, xi, yi, 8, 8); interpolated[6].tile(x, y, xi, yi, 8, 32); interpolated[2].unroll(x, 3); downsampled[1].tile(x, y, xi, yi, 512, 256); downsampled[7].tile(x, y, xi, yi, 64, 16); downsampled[6].split(y, yi, 128); interpolated[2].vectorize(xi, 16); normalize.tile(x, y, xi, yi, 512, 64); downsampled[7].unroll(xi, 4); interpolated[5].tile(x, y, xi, yi, 16, 128); downsampled[8].parallel(y); downsampled[2].unroll(x, 4); downsampled[1].unroll(c, 4); interpolated[6].vectorize(x, 8); interpolated[4].vectorize(x, 4); downsampled[3].parallel(c); downx[2].compute_at(downsampled[2], yi); downsampled[7].unroll(c, 2); downsampled[8].unroll(xi, 3); interpolated[1].unroll(xi, 4); downsampled[5].unroll(c, 3); interpolated[8].vectorize(x, 16); interpolated[5].unroll(x, 4); interpolated[7].unroll(c, 4); downsampled[2].unroll(x, 3); interpolated[3].parallel(c); normalize.vectorize(xi, 4); interpolated[8].unroll(xi, 3); downsampled[5].parallel(c); interpolated[5].vectorize(x, 16); downx[1].compute_at(downsampled[1], x); normalize.unroll(c, 2); downsampled[6].vectorize(x, 8); downsampled[6].unroll(x, 2); interpolated[1].vectorize(x, 8); downsampled[1].parallel(y); normalize.parallel(c); "
-188.386264,221,3505.824447,0.316076786,n/a
-262.0,293,4109.135594,0.318028641,n/a
-36.995142,126,4336.911725,0.166629989,"interpolated[1].tile(x, y, xi, yi, 512, 128); downsampled[7].unroll(c, 3); interpolated[7].tile(x, y, xi, yi, 128, 128); normalize.tile(x, y, xi, yi, 128, 32); downsampled[1].unroll(c, 2); interpolated[5].tile(x, y, xi, yi, 256, 32); downsampled[4].split(y, yi, 16); downsampled[1].tile(x, y, xi, yi, 512, 32); downsampled[2].tile(x, y, xi, yi, 512, 128); interpolated[4].tile(x, y, xi, yi, 64, 16); interpolated[3].unroll(c, 3); interpolated[8].tile(x, y, xi, yi, 256, 512); downsampled[2].unroll(xi, 3); downsampled[8].tile(x, y, xi, yi, 32, 8); downsampled[7].tile(x, y, xi, yi, 64, 64); downsampled[7].vectorize(x, 16); interpolated[8].unroll(c, 4); interpolated[3].tile(x, y, xi, yi, 16, 64); downsampled[5].tile(x, y, xi, yi, 32, 16); interpolated[3].parallel(c); downsampled[6].tile(x, y, xi, yi, 32, 128); downsampled[7].unroll(c, 2); interpolated[6].tile(x, y, xi, yi, 32, 64); interpolated[2].split(y, yi, 512); downx[5].compute_at(downsampled[5], yi); interpolated[1].unroll(xi, 4); interpolated[2].parallel(c); downsampled[6].vectorize(x, 16); downsampled[7].parallel(c); interpolated[7].unroll(xi, 2); interpolated[8].vectorize(xi, 8); downx[5].unroll(x, 4); downx[1].compute_at(downsampled[1], yi); downsampled[3].tile(x, y, xi, yi, 256, 128); normalize.unroll(x, 3); interpolated[4].vectorize(x, 8); downsampled[1].unroll(x, 4); interpolated[6].unroll(xi, 2); downsampled[7].unroll(x, 2); downx[5].vectorize(x, 16); interpolated[8].unroll(x, 4); downsampled[1].parallel(y); normalize.parallel(c); "
-244.015932,294,4863.839972,0.264014439,n/a
-205.830239,284,5375.796522,0.16801529,n/a
-199.411526,247,5972.324357,0.255731682,n/a
-180.463676,217,6419.426812,0.281339827,n/a
-263.094504,340,6927.082965,0.187937447,n/a
-215.73185,258,7403.855848,0.266291265,n/a
-61.313326,156,7630.417237,0.161814153,"downsampled[8].tile(x, y, xi, yi, 32, 16); interpolated[3].tile(x, y, xi, yi, 32, 512); interpolated[5].tile(x, y, xi, yi, 64, 32); downsampled[2].tile(x, y, xi, yi, 256, 16); downsampled[5].tile(x, y, xi, yi, 32, 256); downsampled[8].vectorize(x, 8); interpolated[2].split(y, yi, 32); downsampled[3].tile(x, y, xi, yi, 256, 256); interpolated[8].tile(x, y, xi, yi, 16, 16); downsampled[1].tile(x, y, xi, yi, 64, 128); interpolated[6].unroll(x, 2); downx[3].compute_at(downsampled[3], yi); interpolated[1].tile(x, y, xi, yi, 16, 64); downsampled[3].unroll(c, 2); downsampled[8].unroll(x, 3); interpolated[6].split(y, yi, 256); interpolated[4].split(y, yi, 64); downsampled[4].tile(x, y, xi, yi, 256, 128); downsampled[8].parallel(c); normalize.tile(x, y, xi, yi, 256, 16); interpolated[5].unroll(x, 3); downsampled[6].tile(x, y, xi, yi, 64, 64); downsampled[2].unroll(c, 2); downsampled[4].unroll(xi, 4); downsampled[6].vectorize(xi, 4); normalize.unroll(xi, 2); interpolated[7].tile(x, y, xi, yi, 16, 16); interpolated[3].vectorize(xi, 16); interpolated[3].unroll(x, 4); downsampled[7].unroll(x, 4); interpolated[8].unroll(x, 3); downsampled[7].unroll(c, 3); interpolated[8].vectorize(xi, 4); downsampled[7].tile(x, y, xi, yi, 64, 16); downsampled[1].parallel(y); downsampled[1].unroll(c, 4); downsampled[2].vectorize(xi, 16); downx[5].compute_at(downsampled[5], yi); downsampled[7].vectorize(x, 8); downx[2].compute_at(downsampled[2], yi); downsampled[4].unroll(xi, 2); interpolated[4].vectorize(x, 4); interpolated[5].unroll(x, 4); interpolated[3].unroll(xi, 3); interpolated[1].vectorize(xi, 16); downsampled[5].vectorize(x, 16); normalize.parallel(c); "
-617.591232,724,8559.50135,0.189517186,n/a
-308.906353,397,9073.948125,0.162094147,n/a
-58.267656,162,9331.754447,0.140783825,"downsampled[2].tile(x, y, xi, yi, 16, 64); downsampled[3].unroll(x, 3); downsampled[8].unroll(x, 3); interpolated[4].tile(x, y, xi, yi, 8, 128); interpolated[5].tile(x, y, xi, yi, 256, 8); downsampled[8].tile(x, y, xi, yi, 512, 64); interpolated[6].tile(x, y, xi, yi, 32, 64); interpolated[6].unroll(x, 4); interpolated[8].tile(x, y, xi, yi, 512, 32); downsampled[1].unroll(x, 3); downsampled[1].tile(x, y, xi, yi, 128, 16); downsampled[4].tile(x, y, xi, yi, 16, 32); interpolated[2].tile(x, y, xi, yi, 8, 64); downsampled[3].tile(x, y, xi, yi, 128, 256); downsampled[7].tile(x, y, xi, yi, 512, 512); downsampled[1].parallel(c); interpolated[6].unroll(xi, 2); interpolated[3].tile(x, y, xi, yi, 32, 8); interpolated[7].tile(x, y, xi, yi, 512, 512); downsampled[6].tile(x, y, xi, yi, 256, 512); downsampled[5].tile(x, y, xi, yi, 16, 16); downsampled[5].unroll(c, 2); downx[5].compute_at(downsampled[5], yi); downsampled[2].unroll(x, 3); normalize.tile(x, y, xi, yi, 128, 128); downsampled[7].unroll(x, 2); interpolated[1].tile(x, y, xi, yi, 16, 64); downsampled[1].parallel(y); interpolated[8].vectorize(xi, 16); downsampled[7].vectorize(xi, 8); interpolated[2].unroll(c, 3); downsampled[2].vectorize(xi, 8); downx[5].unroll(x, 4); interpolated[8].unroll(x, 3); interpolated[7].unroll(x, 3); downsampled[3].parallel(y); downsampled[8].unroll(c, 4); downsampled[2].unroll(xi, 2); interpolated[2].vectorize(xi, 4); downsampled[5].vectorize(x, 16); interpolated[3].unroll(xi, 3); downsampled[6].vectorize(xi, 16); downsampled[8].unroll(x, 2); normalize.parallel(c); interpolated[2].parallel(y); interpolated[2].unroll(xi, 4); downx[8].compute_at(downsampled[8], x); interpolated[6].parallel(c); normalize.parallel(y); "
-6.783221,108,9537.496511,0.132882611,"downsampled[8].unroll(c, 4); downsampled[5].tile(x, y, xi, yi, 16, 128); downsampled[4].tile(x, y, xi, yi, 512, 64); interpolated[3].tile(x, y, xi, yi, 16, 256); interpolated[1].unroll(x, 3); interpolated[7].parallel(y); downsampled[1].parallel(c); downsampled[6].tile(x, y, xi, yi, 32, 16); interpolated[8].tile(x, y, xi, yi, 16, 8); interpolated[3].parallel(y); downsampled[8].unroll(x, 3); normalize.tile(x, y, xi, yi, 128, 64); downsampled[8].tile(x, y, xi, yi, 64, 8); interpolated[2].tile(x, y, xi, yi, 512, 32); interpolated[4].tile(x, y, xi, yi, 128, 64); downsampled[7].split(y, yi, 32); downsampled[8].vectorize(x, 8); downsampled[6].unroll(xi, 3); interpolated[5].tile(x, y, xi, yi, 16, 8); interpolated[7].tile(x, y, xi, yi, 128, 32); interpolated[6].unroll(x, 4); interpolated[2].unroll(x, 2); downsampled[2].tile(x, y, xi, yi, 8, 512); downsampled[1].unroll(x, 3); downsampled[3].tile(x, y, xi, yi, 64, 512); downsampled[5].parallel(c); downsampled[3].unroll(c, 4); downsampled[8].unroll(xi, 2); interpolated[2].vectorize(xi, 8); downsampled[1].tile(x, y, xi, yi, 512, 16); interpolated[1].tile(x, y, xi, yi, 16, 8); interpolated[7].vectorize(x, 4); interpolated[5].unroll(x, 2); normalize.unroll(xi, 4); downsampled[3].vectorize(x, 4); downsampled[2].unroll(xi, 2); downsampled[3].unroll(xi, 3); downsampled[5].vectorize(x, 8); downsampled[7].unroll(c, 2); downsampled[1].unroll(x, 2); downsampled[3].unroll(x, 4); interpolated[8].unroll(xi, 2); normalize.parallel(y); "
-300.474364,388,10296.545232,0.195964166,n/a
-140.008958,203,10759.375416,0.314876843,n/a
-253.39088,314,11314.649962,0.252485738,n/a
-226.0,251,11715.401992,0.317621326,n/a
-12.997802,33,11777.059438,0.314841363,n/a
-253.970959,332,12374.440174,0.197085398,n/a
-13.0,26,12420.362909,0.318028641,n/a
-179.305427,216,13039.549365,0.3158197,n/a
-72.757943,183,13362.664162,0.129621931,"interpolated[1].tile(x, y, xi, yi, 256, 32); interpolated[4].tile(x, y, xi, yi, 8, 128); interpolated[8].split(y, yi, 256); downsampled[3].tile(x, y, xi, yi, 128, 256); normalize.unroll(x, 4); interpolated[5].tile(x, y, xi, yi, 512, 256); downsampled[4].tile(x, y, xi, yi, 32, 8); downsampled[1].parallel(c); interpolated[1].vectorize(x, 16); downsampled[7].tile(x, y, xi, yi, 32, 64); downsampled[3].vectorize(xi, 16); downsampled[2].tile(x, y, xi, yi, 32, 64); interpolated[7].tile(x, y, xi, yi, 512, 8); downsampled[8].tile(x, y, xi, yi, 64, 32); downsampled[5].tile(x, y, xi, yi, 256, 64); interpolated[7].vectorize(x, 8); downsampled[1].split(y, yi, 512); interpolated[5].unroll(c, 3); normalize.split(y, yi, 128); downsampled[3].unroll(c, 2); interpolated[2].tile(x, y, xi, yi, 64, 16); interpolated[8].unroll(c, 4); normalize.unroll(c, 3); downsampled[6].tile(x, y, xi, yi, 64, 64); interpolated[3].tile(x, y, xi, yi, 512, 64); interpolated[4].unroll(c, 4); downsampled[6].parallel(y); downsampled[1].unroll(c, 2); downsampled[6].vectorize(xi, 8); normalize.unroll(x, 2); downsampled[3].parallel(c); interpolated[5].vectorize(x, 8); interpolated[7].unroll(c, 2); interpolated[6].split(y, yi, 512); downsampled[7].unroll(x, 2); downsampled[4].vectorize(xi, 16); interpolated[3].unroll(c, 3); downsampled[5].unroll(c, 3); interpolated[4].unroll(x, 2); normalize.parallel(y); interpolated[1].parallel(c); interpolated[4].unroll(c, 2); interpolated[2].parallel(c); interpolated[3].vectorize(x, 4); downsampled[4].parallel(c); downsampled[5].unroll(c, 2); interpolated[2].unroll(c, 2); downsampled[8].unroll(x, 2); downsampled[4].unroll(xi, 2); downsampled[4].unroll(xi, 4); interpolated[8].unroll(c, 3); normalize.bound(x, 0, 3848); "
-179.727562,252,13764.909466,0.186770468,n/a
-185.679688,229,14305.390616,0.256584514,n/a
-45.910838,94,14388.100802,0.244598493,n/a
9.907258,24,14431.546929,0.251537573,n/a
