loss_kl,loss_pol_entpen,EpLenMean,EpExecMean,TimeElapsed,EpThisIter,EpRewMean,loss_ent,loss_vf_loss,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,TimestepsSoFar
0.027312066,-0.2167827,74.66666666666667,0.31559550966666666,861.0917608737946,3,-62.32574804376398,7.2260904,96.49022,-0.0019230842590332031,-0.12712525,3,224
0.018139403,-0.2162234,65.75,0.30684703324999996,1342.470576286316,1,-49.30219889456434,7.207447,21.96493,0.4879845976829529,-0.12979734,4,263
0.02657755,-0.2144944,103.57142857142857,0.30028233942857135,1844.088258266449,3,-77.36554306081239,7.1498137,46.82761,0.5894812047481537,-0.14856535,7,725
0.027004931,-0.21495116,107.25,0.302251704,2217.1143074035645,1,-83.99157951547514,7.165038,36.796432,-0.0032068490982055664,-0.13636564,8,858
0.035318453,-0.21411777,122.6,0.2961846266,2680.0573999881744,2,-92.61734233930207,7.137259,48.703106,-0.21301066875457764,-0.1359471,10,1226
0.033674166,-0.21364212,134.63636363636363,0.2923853972727273,3038.4707612991333,1,-101.28764094552099,7.121404,63.87612,-0.007251381874084473,-0.13067245,11,1481
0.060823668,-0.21246077,141.83333333333334,0.29435967966666665,3651.113565683365,1,-108.54585956641348,7.0820255,78.27704,-0.6488412618637085,-0.13354628,12,1702
0.0777815,-0.209331,153.46153846153845,0.296180369,4210.356711387634,1,-120.35002421515091,6.9777,78.14677,0.35014814138412476,-0.13352337,13,1995
0.054517973,-0.2052522,151.5,0.2869267704285714,4608.654583454132,1,-114.39610405920281,6.84174,50.795918,-0.027028679847717285,-0.118782565,14,2121
0.07977964,-0.20524488,161.0,0.28539928166666667,5040.758185148239,1,-123.03742589355865,6.8414965,78.354904,0.285916805267334,-0.13378927,15,2415
0.077842265,-0.20008183,168.6875,0.2780627821875,5545.103588581085,1,-128.21197669052862,6.6693945,33.882893,0.20288902521133423,-0.14480263,16,2699
0.14715454,-0.19501442,173.2941176470588,0.2767491880588236,6200.501648902893,1,-132.40018544855818,6.500481,26.266874,0.6210344433784485,-0.17441377,17,2946
0.13361514,-0.19250177,175.72222222222223,0.2770042235555556,6604.72266125679,1,-135.07037937574376,6.4167256,16.520823,0.6871984302997589,-0.16900775,18,3163
0.12805939,-0.18687308,184.3684210526316,0.2723164984736843,7119.745633363724,1,-141.80849118190613,6.229103,38.169075,0.24492698907852173,-0.12305383,19,3503
0.20824668,-0.19229054,188.05,0.27201523680000006,7509.5053815841675,1,-145.50465912848392,6.409685,36.055016,0.4364359974861145,-0.11983434,20,3761
0.10071789,-0.19765835,186.52380952380952,0.26676756614285724,7866.068627119064,1,-141.49554803716407,6.5886126,21.870508,-0.3800337314605713,-0.12268775,21,3917
0.24562947,-0.18819594,186.52380952380952,0.26676756614285724,8122.086089849472,0,-141.49554803716407,6.273198,28.550117,0.9405326694250107,-0.111956984,21,3917
0.20851876,-0.1930141,186.52380952380952,0.26676756614285724,8518.052227973938,0,-141.49554803716407,6.4338036,11.1763115,-0.058103322982788086,-0.09679273,21,3917
0.08198678,-0.20233668,210.95454545454547,0.2632561852272728,8852.701166391373,1,-163.13626095478838,6.7445564,99.96209,0.16520804166793823,-0.13428217,22,4641
0.15500584,-0.19981539,219.04347826086956,0.2588578357391305,9233.063171386719,1,-169.47409104318342,6.6605134,28.138437,0.4938070774078369,-0.12919874,23,5038
0.07645303,-0.20010567,212.32,0.24909586632000003,9677.372425794601,2,-158.51819885618414,6.670189,34.577797,-0.018389582633972168,-0.13191427,25,5308
0.10096245,-0.2013892,212.32,0.24909586632000003,10159.370481967926,0,-158.51819885618414,6.7129726,28.892658,0.7710295766592026,-0.14319536,25,5308
0.08095878,-0.2037025,219.07692307692307,0.24705233938461543,10703.006177902222,1,-163.97805135200917,6.7900825,17.062176,0.14146482944488525,-0.15914641,26,5696
0.06891009,-0.20532346,218.4814814814815,0.2495643580370371,11172.091336488724,1,-163.09030714684963,6.8441153,39.84568,-0.6499102115631104,-0.11716285,27,5899
0.09062328,-0.2041457,221.89285714285714,0.24966869303571435,11604.490124940872,1,-166.31532762001856,6.8048563,15.542958,0.5498234629631042,-0.14057924,28,6213
0.06703872,-0.20853405,216.56666666666666,0.2541062031333334,12055.727287769318,2,-163.19423249817717,6.9511347,52.145622,0.2716591954231262,-0.12185038,30,6497
0.06713854,-0.20712371,214.21875,0.25432187915625004,12611.16822719574,2,-161.33743542869303,6.9041233,32.93061,-0.041004180908203125,-0.121140115,32,6855
0.03582287,-0.20623735,214.27272727272728,0.25618544948484856,13222.443505764008,1,-161.8819200224552,6.874578,24.313837,0.48986464738845825,-0.09832469,33,7071
0.06123724,-0.20353879,213.35294117647058,0.2524629930588236,13604.119233846664,1,-159.26062656931285,6.784627,66.23933,0.10686570405960083,-0.11774732,34,7254
0.06605893,-0.20326118,214.45714285714286,0.25058606377142867,14155.36215877533,1,-159.8453961591466,6.775373,12.965122,0.7540765106678009,-0.13374048,35,7506
0.08138424,-0.20270896,206.6578947368421,0.2506113897894738,14537.535260677338,3,-153.0597929829385,6.756965,132.4148,0.2351287603378296,-0.13344818,38,7853
0.089753255,-0.20158727,206.6578947368421,0.2506113897894738,14785.200432538986,0,-153.0597929829385,6.719576,25.985847,0.45557528734207153,-0.11734602,38,7853
0.12109958,-0.19743267,213.6153846153846,0.24897438217948725,15152.755831718445,1,-158.92304996864283,6.581089,61.33206,0.546929657459259,-0.13725764,39,8331
0.057981063,-0.19959366,216.0,0.249115655775,15685.117551326752,1,-161.2015648748598,6.653122,4.804373,0.62116739153862,-0.13639069,40,8640
