#{"t_start": 1533002300.6634815, "env_id": "HalideBlur-v3"}
r,l,t,best_exec,best_schedule
70.433113,5,4.591337,0.014855729,"blur_y.tile(x, y, xi, yi, 128, 512); blur_y.unroll(x, 4); blur_x.compute_at(blur_y, x); "
44.575946,55,14.829346,0.003592216,"blur_y.tile(x, y, xi, yi, 8, 8); blur_y.vectorize(xi, 4); blur_y.bound(x, 0, 3848); blur_x.compute_at(blur_y, yi); blur_x.compute_at(blur_y, x); blur_x.unroll(x, 3); blur_y.parallel(y); "
73.568394,25,18.313077,0.003037257,"blur_y.split(y, yi, 32); blur_y.unroll(x, 4); blur_y.parallel(y); blur_y.bound(x, 0, 3848); "
19.240125,40,70.871655,0.026706469,n/a
-222.417116,265,127.894658,0.039935176,n/a
-33.0,38,132.987825,0.055918214,n/a
13.238527,92,183.778787,0.004340077,n/a
-19.114687,124,228.547341,0.004537588,n/a
-103.153523,210,276.276402,0.00344094,n/a
70.156351,31,283.410601,0.003267664,n/a
-96.949436,153,313.605764,0.030726743,n/a
62.711122,29,318.540255,0.007430903,n/a
15.869824,89,331.400115,0.004546249,n/a
-6.246698,112,348.499153,0.003493042,n/a
61.337085,26,358.758979,0.011554333,n/a
62.180252,36,372.747959,0.00605021,n/a
38.654498,44,387.375048,0.014172752,n/a
48.487289,42,395.457124,0.00891964,n/a
61.419315,38,403.79855,0.004798166,n/a
63.355762,24,410.998544,0.009764161,n/a
49.233566,43,418.253775,0.008257126,n/a
-1.593799,103,427.91255,0.004805499,n/a
29.538417,55,434.790058,0.012560116,n/a
-30.995453,124,471.772602,0.0111811,n/a
65.715765,35,479.189728,0.003550312,n/a
-5.09251,56,486.410785,0.02972047,n/a
57.192263,30,498.830883,0.012194497,n/a
40.289604,59,508.486692,0.00542988,n/a
55.149019,38,515.232579,0.007186039,n/a
51.622937,41,525.435965,0.008598579,n/a
67.636198,10,531.797917,0.013753285,n/a
-7.713027,88,543.673857,0.011435602,n/a
-201.409691,310,575.621679,0.003584185,n/a
82.554949,10,577.946214,0.005499861,n/a
77.098162,11,584.936591,0.009024611,n/a
18.674233,86,627.95812,0.00465562,n/a
63.966432,34,635.44651,0.003107518,n/a
47.057901,46,641.107131,0.003189861,n/a
78.085769,21,647.205514,0.005543861,n/a
41.016331,58,655.352916,0.004464325,n/a
15.61599,40,663.932518,0.004131322,n/a
56.111539,18,673.380821,0.017831458,n/a
79.46926,15,680.281627,0.007006966,n/a
66.740486,11,684.722916,0.014683851,n/a
89.092513,4,687.065599,0.00554009,n/a
29.783266,16,693.107594,0.03311294,n/a
78.509684,22,699.712749,0.004188451,n/a
-15.0,20,707.122352,0.055815896,n/a
-8.753574,17,723.27196,0.055780417,n/a
60.74394,21,725.652089,0.011886009,n/a
85.214223,9,730.059452,0.006031214,n/a
76.80991,14,740.773527,0.008494027,n/a
18.532307,20,748.780521,0.013631133,n/a
75.513606,20,753.492468,0.005863804,n/a
53.27691,37,757.992715,0.008148242,n/a
44.548944,55,768.174197,0.006962408,n/a
-16.0,20,771.204653,0.055918214,n/a
36.33197,16,776.700805,0.005644643,n/a
64.016244,26,780.786851,0.008378649,n/a
70.497191,8,784.000612,0.013701533,n/a
55.59922,23,794.764835,0.015881209,n/a
-165.36171,226,806.663865,0.004852921,n/a
81.680979,15,811.610929,0.004651848,n/a
79.053044,16,815.731857,0.004725531,n/a
61.858818,31,819.872909,0.006789132,n/a
74.807089,12,824.986381,0.010173151,n/a
67.298229,33,830.552428,0.004306693,n/a
72.397407,26,834.018869,0.00313287,n/a
86.515186,13,838.493191,0.00306701,n/a
76.56627,25,844.253571,0.003038445,n/a
67.226103,32,849.1471,0.003787842,n/a
74.251105,13,854.887488,0.009924865,n/a
63.22265,31,860.326415,0.003009461,"blur_y.split(y, yi, 64); blur_y.parallel(y); blur_x.compute_at(blur_y, x); blur_x.store_at(blur_y, y); blur_y.vectorize(x, 8); blur_y.unroll(x, 4); blur_y.unroll(x, 2); "
76.669496,23,865.223545,0.003134617,n/a
36.492624,60,871.556749,0.005875537,n/a
87.939969,12,876.258513,0.002829479,"blur_y.vectorize(x, 16); blur_y.tile(x, y, xi, yi, 128, 32); blur_y.bound(x, 0, 3848); blur_y.parallel(y); blur_x.compute_at(blur_y, x); "
51.532969,10,879.25369,0.023746805,n/a
-16.0,21,883.911842,0.055918214,n/a
69.566451,13,892.496808,0.013103622,n/a
86.790199,10,897.50373,0.005149956,n/a
16.909538,31,904.406944,0.006146662,n/a
28.50156,18,915.215172,0.032711283,n/a
44.921899,16,920.238015,0.024647687,n/a
-20.0,29,929.20783,0.006545735,n/a
38.862456,62,935.903449,0.004550369,n/a
87.267431,5,938.480761,0.006001461,n/a
80.21675,3,941.470802,0.01106244,n/a
65.956298,27,945.714885,0.007293805,n/a
44.334931,13,948.527683,0.025535091,n/a
86.860207,8,950.961945,0.004551627,n/a
68.215757,17,953.236773,0.007809932,n/a
79.757086,12,957.054654,0.003839664,n/a
90.873889,6,960.088981,0.003984794,n/a
82.097142,14,963.188602,0.004410826,n/a
90.489332,7,965.421861,0.003081467,n/a
71.430935,9,968.413273,0.0131794,n/a
66.372593,28,973.249355,0.005942656,n/a
77.995819,10,976.851274,0.004710934,n/a
75.258898,8,979.113897,0.011598054,n/a
79.789518,15,981.488754,0.004582635,n/a
67.209917,10,985.982841,0.014192517,n/a
78.620314,9,988.690601,0.008600046,n/a
83.972293,9,991.242861,0.006166497,n/a
73.461003,14,993.791541,0.009248312,n/a
53.082673,15,997.93391,0.020084328,n/a
82.087061,7,1000.38709,0.008339049,n/a
80.415369,11,1002.818971,0.006477919,n/a
73.851288,7,1005.158926,0.012385164,n/a
90.202188,7,1007.446915,0.003242033,n/a
77.980398,10,1009.73354,0.008398693,n/a
32.949252,47,1018.208821,0.006381258,n/a
84.332577,13,1021.518769,0.004287486,n/a
83.169509,10,1024.033998,0.006056217,n/a
79.809029,7,1027.29679,0.009612884,n/a
