TimeElapsed,EpRewMean,loss_pol_surr,loss_kl,loss_ent,TimestepsSoFar,EpExecMean,EpisodesSoFar,EpLenMean,EpThisIter,loss_pol_entpen,ev_tdlam_before,loss_vf_loss
226.55279731750488,41.840510738658864,-0.10799143,0.036291227,4.4852476,238,0.095711791,9,26.444444444444443,9,-0.13455743,0.0044403076171875,647.0606
415.014276266098,45.831697625425356,-0.08562005,0.06415403,4.4185715,259,0.08630467600000001,10,25.9,1,-0.13255715,0.05590718984603882,129.0423
584.8068013191223,24.626080949993653,-0.093414634,0.033723895,4.4380145,756,0.06749822130769233,13,58.15384615384615,3,-0.13314043,0.046445369720458984,141.20476
809.527027130127,27.438513861013387,-0.117888495,0.04888951,4.39383,1008,0.06786245400000002,17,59.294117647058826,4,-0.13181488,0.15521204471588135,427.17126
992.0615708827972,27.95751134152165,-0.092409216,0.06360525,4.318392,1166,0.061159126105263174,19,61.36842105263158,2,-0.12955174,0.3275907635688782,211.52448
1191.4491710662842,30.021687655430757,-0.11423987,0.059924297,4.224893,1350,0.05634756981818183,22,61.36363636363637,3,-0.1267468,-0.15296614170074463,353.6941
1304.6863207817078,30.021687655430757,-0.07102586,0.062241755,4.378725,1350,0.05634756981818183,22,61.36363636363637,0,-0.13136175,-0.0057953596115112305,169.26231
1494.39382147789,10.71934251544152,-0.09852092,0.07587257,4.265764,1961,0.05316664866666668,27,72.62962962962963,5,-0.12797293,0.10470765829086304,217.44318
1747.831116437912,22.306346424445348,-0.105017185,0.07466049,4.2414265,2273,0.040083122594594595,37,61.432432432432435,10,-0.12724279,0.2730429768562317,647.583
1991.173171043396,27.708775989819333,-0.102736264,0.06423376,4.2000246,2536,0.05362684460869565,46,55.130434782608695,9,-0.12600075,0.2863227128982544,299.48956
2252.8035118579865,34.92069816290786,-0.111993775,0.14277576,3.8238773,2808,0.059867556,60,46.8,14,-0.11471632,0.38994038105010986,529.4677
2589.5465581417084,45.09293749917088,-0.09382537,0.053053934,3.9199307,3070,0.05944411188043477,92,33.369565217391305,32,-0.117597915,0.3658074140548706,951.7309
2991.877256155014,62.51167570901745,-0.08198067,0.044994563,3.8448381,3312,0.07140138003,128,12.4,36,-0.115345135,0.33719420433044434,1029.6232
3256.95428609848,65.79557515201621,-0.09397583,0.05988444,3.6866674,3577,0.058769356089999995,155,8.64,27,-0.110600024,0.48281407356262207,685.6496
3645.8270938396454,70.81467088166035,-0.11250152,0.08809356,3.5147538,3838,0.03794572689,193,7.52,38,-0.105442606,0.5420914590358734,889.8677
3991.3159005641937,69.48904151272835,-0.08888368,0.04718195,3.62273,4087,0.01834513587,226,7.85,33,-0.108681895,0.5578725636005402,572.04736
4309.906868934631,72.29936786456864,-0.08867317,0.09093142,3.4035668,4350,0.01759246058,251,7.99,25,-0.102107,0.6075841188430786,414.70337
4633.259979009628,69.08162836855007,-0.0737964,0.033546682,3.410577,4602,0.02098888971,290,7.72,39,-0.10231732,0.5982086062431335,560.8268
4963.502907991409,77.05003093351327,-0.08500073,0.061071552,3.3358006,4863,0.021576301739999998,323,7.98,33,-0.100074016,0.6193515062332153,509.31537
5232.553535223007,77.99016215739051,-0.06678279,0.040648505,3.4499893,5109,0.01798280844,355,7.32,32,-0.10349968,0.6348873972892761,430.3516
5526.279571771622,76.33631739381457,-0.07955473,0.09249355,3.048799,5375,0.014308146289999999,393,7.41,38,-0.09146397,0.6759966611862183,340.82407
5944.583124876022,74.4313192922304,-0.054903343,0.091973975,2.948813,5629,0.007012720650000002,457,4.85,64,-0.08846439,0.736015111207962,535.34534
6341.671820163727,79.06325199551301,-0.045609675,0.034275584,2.9722838,5885,0.01071082572,502,4.82,45,-0.08916851,0.7305851578712463,379.94983
6722.741431713104,80.89875424535505,-0.04454343,0.04076105,3.085034,6143,0.014196801129999999,543,5.72,41,-0.092551015,0.778148427605629,288.5927
7108.358652114868,77.74738599264519,-0.04827075,0.05303523,3.077415,6394,0.01593915957,591,5.59,48,-0.092322454,0.7997217923402786,282.81537
7404.82084608078,75.04466916650257,-0.019258648,0.57083166,3.117559,6656,0.01547830696,621,6.4,30,-0.09352677,0.5830479860305786,379.1804
7868.509046554565,74.26469949569591,-0.046779193,0.041341648,3.132272,6911,0.030360159630000005,676,5.92,55,-0.09396816,0.7519700229167938,395.7478
8246.579644680023,70.50055714916847,-0.033149827,0.047487516,3.1913297,7165,0.04687444332000001,720,5.14,44,-0.095739886,0.6366684436798096,336.44336
8642.978110313416,64.18997187237858,-0.04562059,0.05429649,3.035521,7420,0.061310455039999996,765,5.55,45,-0.09106563,0.6542811095714569,284.6092
9038.653320074081,70.90361637537731,-0.04693935,0.032695353,2.958764,7680,0.04474105124,818,5.27,53,-0.08876291,0.7637007534503937,294.74152
9480.064749717712,75.58680813311271,-0.07560847,0.07299451,3.0302656,7932,0.03421222774,874,4.73,56,-0.090907976,0.726730614900589,317.39
9889.734604358673,81.38816508093458,-0.045605946,0.036006935,3.2186065,8187,0.019454710729999998,915,5.39,41,-0.0965582,0.8299242407083511,217.12077
10216.589361429214,80.54338966339675,-0.0251495,0.18803322,3.1105657,8448,0.03324138011,949,6.62,34,-0.09331697,0.6382817924022675,309.22052
10350.062750816345,78.41979596130635,-0.077852584,0.7421793,2.995288,8524,0.02858236447,963,6.5,14,-0.08985863,0.47614943981170654,221.21979
10797.936218738556,76.73570615082804,-0.04165938,0.07064353,3.254718,8958,0.0380211841,1009,7.93,46,-0.09764154,0.7558590918779373,386.63525
