EpLenMean,EpRewMean,loss_kl,ev_tdlam_before,TimeElapsed,loss_ent,loss_pol_entpen,EpExecMean,TimestepsSoFar,EpThisIter,EpisodesSoFar,loss_vf_loss,loss_pol_surr
6.5,44.886321859704296,0.03205069,0.0009230375289916992,217.0431342124939,4.490102,-0.13470306,0.3348850785,13,2,2,184.65305,-0.09239484
83.75,-5.069700091390704,0.025244828,0.2039594054222107,406.26752400398254,4.4738164,-0.13421449,0.195647732,335,2,4,193.28732,-0.067568414
85.71428571428571,0.002428566429372836,0.049066618,0.2533032298088074,595.8764400482178,4.4183197,-0.13254958,0.15574665114285713,600,3,7,169.2529,-0.090034105
81.63636363636364,13.116563462973742,0.054471347,0.2556721568107605,862.1607711315155,4.356241,-0.13068722,0.10256098527272726,898,4,11,445.68478,-0.11521725
91.0,8.3750789729362,0.04386977,0.29406672716140747,1022.6424305438995,4.3388987,-0.13016696,0.08201614585714287,1274,3,14,301.59247,-0.09686701
82.11111111111111,19.233546273377605,0.044874053,0.4355005621910095,1248.3482377529144,4.261937,-0.12785812,0.06527804422222222,1478,4,18,230.57776,-0.09003158
64.0,27.74221721048937,0.08146641,0.3729540705680847,1507.3238072395325,4.2504063,-0.12751219,0.04777083935714286,1792,10,28,523.5156,-0.103361316
50.473684210526315,39.91511860039436,0.087659,0.5125787258148193,1699.3846135139465,4.060242,-0.12180726,0.047031039552631576,1918,10,38,330.80872,-0.11495127
41.107142857142854,44.60583032842963,0.14893848,0.4978310465812683,2011.7636530399323,3.54643,-0.1063929,0.057639203232142854,2302,18,56,564.3729,-0.10813226
19.57,58.599381859420575,0.1322053,0.4864950180053711,2466.318285703659,3.717861,-0.111535825,0.07456083487,2557,51,107,1219.7021,-0.11712492
8.96,60.152710459894614,0.07607083,0.55374875664711,2763.4418354034424,3.8114533,-0.1143436,0.09753560841,2810,30,137,481.1537,-0.083306774
7.66,60.84249023315766,0.12868279,0.5027400553226471,2934.6377341747284,3.796751,-0.11390253,0.10583021136000001,3068,19,156,268.14502,-0.10907619
8.45,62.28792743679846,0.07530001,0.5614483654499054,3218.1301255226135,3.6815765,-0.11044729,0.08489975648999999,3317,35,191,608.6128,-0.0999911
8.67,69.45384806981797,0.060305666,0.6013893187046051,3542.3988234996796,3.5509708,-0.106529124,0.06918231299000001,3577,36,227,518.7632,-0.10004679
7.82,75.2117060829872,0.046692435,0.5000373721122742,3788.1844017505646,3.6480842,-0.109442525,0.05704670621000002,3840,26,253,366.5036,-0.060774498
8.1,75.59145728610254,0.11014487,0.5988337695598602,4051.872859954834,3.639974,-0.109199226,0.04611822633999999,4091,32,285,456.60703,-0.08763512
8.66,69.72504439960451,0.04989223,0.6577510833740234,4256.4172031879425,3.668954,-0.11006861,0.04370512757,4338,28,313,259.73047,-0.0750163
8.73,72.03880814929282,0.07902546,0.5481760203838348,4509.316370010376,3.6073108,-0.10821932,0.03429001265,4601,28,341,400.01465,-0.08015984
8.89,68.80606816956319,0.08596538,0.6244534850120544,4831.69206237793,3.3913713,-0.10174114,0.030920847520000003,4851,30,371,296.11163,-0.057197995
8.28,75.32966694709818,0.054713454,0.6784854829311371,5095.458485364914,3.22224,-0.0966672,0.028539429460000005,5094,35,406,297.35056,-0.0726646
8.27,71.73306035779113,0.068437986,0.4492158889770508,5360.597720623016,3.2702057,-0.09810617,0.0399795938,5344,26,432,238.85431,-0.061775014
6.88,77.35585613211852,0.045248657,0.7638344466686249,5768.783009767532,3.1804485,-0.09541346,0.029247104709999996,5631,54,486,376.03674,-0.050723214
5.81,79.50225401075804,0.060170766,0.74671271443367,6072.565948486328,3.3274207,-0.09982261,0.021829207509999997,5886,37,523,249.51646,-0.059942387
