EpLenMean,EpThisIter,EpisodesSoFar,ev_tdlam_before,EpRewMean,EpExecMean,TimestepsSoFar,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss,loss_ent,TimeElapsed
12.8,5,5,0.009183883666992188,60.619532001965766,0.0044385532,64,0.031418465,-0.12650308,-0.084122926,481.74854,4.216769,115.1851692199707
59.75,3,8,0.11716288328170776,14.785635987026112,0.002975570375,478,0.02351619,-0.12593767,-0.06801329,181.73346,4.1979227,225.754873752594
50.4,7,15,0.15458005666732788,20.828347205180556,0.0025474932666666662,756,0.03682734,-0.12523353,-0.09288655,409.41833,4.174451,355.1678626537323
39.03846153846154,11,26,0.2554066777229309,32.950027174798414,0.0031604630769230765,1015,0.07901491,-0.12012841,-0.101122454,480.56436,4.0042806,554.4161012172699
35.19444444444444,10,36,0.43807172775268555,37.51946170195462,0.0024666078611111104,1267,0.07705384,-0.117171355,-0.09883343,356.51886,3.9057121,765.117671251297
33.08888888888889,9,45,0.16333717107772827,44.80027548387756,0.0021197760222222218,1489,0.096582204,-0.11581788,-0.12377404,515.43396,3.8605962,946.9401657581329
33.08888888888889,0,45,-0.01268315315246582,44.80027548387756,0.0021197760222222218,1489,0.08649184,-0.12071497,-0.06280939,13.320063,4.023833,977.235942363739
27.554054054054053,29,74,0.20400863885879517,50.17708319339615,0.0020277312027027023,2039,0.08569649,-0.102841325,-0.11314702,1262.0292,3.4280443,1296.2024760246277
22.79,27,101,0.26310545206069946,50.58363456778873,0.00189958999,2280,0.079209715,-0.1064296,-0.0913773,570.2214,3.5476532,1540.0520141124725
12.06,40,141,0.45512592792510986,61.08531398725502,0.00181678901,2558,0.04563396,-0.1018721,-0.07776825,768.92065,3.395737,1848.1637167930603
7.49,35,176,0.53586745262146,60.98573456164867,0.00170369089,2816,0.034561392,-0.10374659,-0.07269658,543.4861,3.4582198,2135.848181962967
7.15,36,212,0.5962415039539337,65.80629396556115,0.00151261978,3071,0.0460447,-0.10147184,-0.08401887,563.60266,3.3823946,2466.707418203354
7.48,30,242,0.6219427585601807,66.49517976395767,0.0013513897900000002,3328,0.03855365,-0.102203995,-0.056759633,385.7931,3.4067998,2731.140214920044
7.26,40,282,0.5525733828544617,63.090650480552014,0.0017811929999999997,3581,0.05832509,-0.098210834,-0.061585344,412.35962,3.2736945,3063.4314403533936
6.21,48,330,0.6506369709968567,63.0766659725607,0.0018052687399999997,3832,0.04440482,-0.09306337,-0.06227237,573.5437,3.1021125,3480.472887992859
7.26,14,344,0.6661906838417053,64.17837931375881,0.0016451883,4067,0.047760613,-0.0993615,-0.05444239,176.04431,3.3120499,3711.7482068538666
