loss_ent,loss_pol_surr,EpisodesSoFar,loss_vf_loss,EpThisIter,TimestepsSoFar,loss_pol_entpen,loss_kl,ev_tdlam_before,EpExecMean,TimeElapsed,EpLenMean,EpRewMean
4.580043,-0.13503915,6,277.40387,6,174,-0.13740128,0.025313713,0.0013940930366516113,0.3280940385,186.07965683937073,29.0,26.941244001695527
4.5538325,-0.13122202,8,95.594345,2,509,-0.13661498,0.036314294,0.26741766929626465,0.255590707625,348.5112736225128,63.625,6.267905605563591
4.5118856,-0.12626517,10,138.84232,2,709,-0.13535656,0.033103388,0.4074245095252991,0.23894267570000002,529.0269865989685,70.9,3.207598514325656
4.454933,-0.12263627,12,75.54241,2,1015,-0.13364798,0.04520583,0.7004597783088684,0.21066894525000002,729.434070110321,84.58333333333333,-4.9049747803933785
4.463691,-0.11793259,17,375.07718,5,1255,-0.13391073,0.040869292,0.2954031229019165,0.16091554170588232,848.3478779792786,73.82352941176471,12.987750776766507
4.3969145,-0.13337228,23,98.13947,6,1511,-0.13190743,0.044363484,0.41148310899734497,0.23646654708695652,985.3633890151978,65.69565217391305,8.361240711122955
4.3484497,-0.11198822,27,99.41151,4,1748,-0.1304535,0.03549313,0.5021424889564514,0.22912746362962966,1178.6594696044922,64.74074074074075,10.717276088951708
4.285136,-0.12591006,32,202.7739,5,2038,-0.12855408,0.049600773,-0.09043526649475098,0.21607052615625,1427.4609751701355,63.6875,13.915450352397396
4.3442,-0.10775333,36,101.77667,4,2297,-0.130326,0.040614575,0.43605977296829224,0.21447564247222223,1583.6684885025024,63.80555555555556,11.47504629723504
4.2354016,-0.106166504,40,196.30562,4,2535,-0.12706205,0.038074248,0.08494073152542114,0.21051100150000002,1737.3700559139252,63.375,12.936738034857893
4.1629305,-0.10667804,46,417.80624,6,2792,-0.124887906,0.048208237,-0.05033373832702637,0.20133352402173915,1958.600203037262,60.69565217391305,17.270671287996073
4.2585344,-0.10586992,50,118.52875,4,3007,-0.12775603,0.043105662,0.12243568897247314,0.19399657459999997,2177.088796377182,60.14,19.30434544179613
4.232601,-0.075817294,54,166.13583,4,3305,-0.12697804,0.03488488,0.2582789659500122,0.18567246137037033,2370.738044500351,61.2037037037037,19.887068247351962
4.243305,-0.07558212,57,156.96179,3,3544,-0.12729914,0.040911477,0.38624441623687744,0.17916931692982455,2502.2702045440674,62.175438596491226,20.258863537106567
4.024837,-0.09428537,64,271.04706,7,3797,-0.12074511,0.041782647,0.37661880254745483,0.16678319940625,2649.103316307068,59.328125,25.032021978409368
3.8652978,-0.08771518,72,255.07924,8,4074,-0.11595893,0.044811077,0.4645892381668091,0.15587256148611112,2816.9746713638306,56.583333333333336,29.349556512252782
3.9433365,-0.09480453,79,235.24022,7,4343,-0.118300095,0.039740562,0.4896889328956604,0.1479326723037975,3026.515358686447,54.9746835443038,31.7324850420678
4.043619,-0.09485528,83,173.21729,4,4579,-0.12130857,0.047896247,0.4161236882209778,0.14288699303614458,3242.3757066726685,55.16867469879518,32.41859946627464
3.7274046,-0.08608936,92,320.08112,9,4858,-0.11182213,0.04955849,0.5225534737110138,0.1327588789130435,3441.2099990844727,52.80434782608695,36.459232633688735
3.682342,-0.08099686,102,316.2386,10,5109,-0.110470265,0.073056385,0.5173608660697937,0.12317619513999999,3596.8646895885468,50.6,39.9956996348639
3.504323,-0.05984459,115,325.1448,13,5374,-0.10512969,0.04613009,0.5393223762512207,0.10615364151999998,3801.8012125492096,42.26,49.366098553272494
3.4743614,-0.06356241,126,350.39795,11,5614,-0.10423084,0.07907472,0.5327569842338562,0.08025728767000001,3958.191828250885,39.29,55.14832305281876
3.199912,-0.05959984,142,484.7472,16,5875,-0.09599735,0.043584168,0.4417630434036255,0.06646601158,4163.602406978607,32.59,63.651644241070635
3.302218,-0.087564185,159,354.7613,17,6127,-0.09906653,0.042732008,0.6377002596855164,0.06958626243000002,4377.454305887222,25.16,69.22733278284905
3.3887136,-0.08868395,172,274.3275,13,6387,-0.10166141,0.047942705,0.6332522928714752,0.07059939891999999,4582.905258655548,23.13,70.84429804826368
3.369136,-0.07293829,188,252.42642,16,6632,-0.10107408,0.05764868,0.6337110996246338,0.07352810861,4803.948463201523,18.88,72.70769136081505
3.3649626,-0.058807313,205,200.25677,17,6912,-0.10094888,0.04554193,0.7204343974590302,0.08010113024000001,5095.589916944504,17.48,71.73198423427118
3.2234793,-0.07300845,222,207.0834,17,7168,-0.09670438,0.049680725,0.7538969218730927,0.08336958707000001,5298.965843439102,16.41,73.74962147116815
3.2909188,-0.057126462,244,239.4164,22,7423,-0.09872756,0.101061314,0.7269620597362518,0.07978215594,5522.178170204163,15.23,73.62295159659249
3.5076618,-0.09197734,254,170.23303,10,7554,-0.10522984,0.06989097,0.7807754874229431,0.07598290463,5695.576043128967,14.94,74.76982638779543
4.200671,-0.07593852,254,31.686857,0,7554,-0.12602013,0.116915345,0.11133873462677002,0.07598290463,5726.630990028381,14.94,74.76982638779543
3.5869691,-0.071688876,266,186.08032,12,8190,-0.10760908,0.07326382,0.8099354654550552,0.08012421128,5876.898842334747,19.04,70.14428010624815
3.8526616,-0.06445188,270,54.808334,4,8252,-0.11557984,0.048566885,0.8956676721572876,0.07619037446,5995.842920780182,18.87,70.85848797418396
3.765696,-0.084498286,275,50.9285,5,8696,-0.11297087,0.13931003,0.9112179204821587,0.07483696563,6093.318218231201,22.54,68.8488756265845
3.0434976,-0.07376956,293,104.603455,18,8951,-0.09130493,0.056036323,0.6988495290279388,0.0768806885,6290.163957834244,22.4,68.57983880559348
