#{"env_id": "HalideHarris-v3", "t_start": 1533496930.4588304}
r,l,t,best_exec,best_schedule
54.478264,9,12.292238,0.261645912,"shifted.tile(x, y, xi, yi, 512, 32); Ix.compute_at(shifted, x); shifted.compute_root(); Iy.compute_at(shifted, x); "
60.715361,40,35.715242,0.048226524,"shifted.split(y, yi, 16); Iy.compute_at(shifted, yi); Iy.store_at(shifted, y); shifted.unroll(x, 2); shifted.bound(x, 0, 3848); Iy.unroll(x, 2); Iy.compute_at(shifted, x); shifted.vectorize(x, 4); shifted.parallel(y); "
-24.708189,27,91.366688,0.660098537,n/a
77.319973,24,101.901261,0.0309832,"shifted.unroll(x, 3); shifted.tile(x, y, xi, yi, 128, 128); shifted.parallel(y); shifted.bound(y, 0, 2568); gray.compute_at(shifted, yi); shifted.vectorize(xi, 4); "
-26.0,32,122.99756,0.662030416,n/a
19.842054,42,144.738113,0.305579642,n/a
-162.105792,276,230.486794,0.047042504,n/a
50.601573,59,342.896714,0.029118926,"shifted.tile(x, y, xi, yi, 16, 64); shifted.vectorize(x, 8); shifted.bound(x, 0, 3848); Ix.compute_at(shifted, yi); Ix.vectorize(x, 4); Ix.compute_at(shifted, x); gray.compute_at(shifted, x); gray.vectorize(x, 4); gray.store_at(shifted, y); shifted.unroll(x, 4); shifted.unroll(xi, 4); shifted.unroll(x, 3); gray.unroll(x, 4); gray.unroll(x, 2); shifted.parallel(y); "
17.270275,82,442.007959,0.117376169,n/a
-35.337535,118,508.446584,0.227324927,n/a
-20.441676,119,609.944467,0.108848897,n/a
-70.494006,187,719.877462,0.029751689,n/a
18.841255,90,760.609716,0.034152458,n/a
75.922796,27,773.300452,0.026992329,"gray.compute_at(shifted, x); shifted.tile(x, y, xi, yi, 128, 16); Ix.compute_at(shifted, x); Ix.unroll(x, 2); shifted.unroll(xi, 3); Iy.compute_at(shifted, yi); shifted.vectorize(x, 8); shifted.parallel(y); "
76.875143,16,781.75011,0.073649938,n/a
39.176756,77,834.884759,0.02531104,"shifted.tile(x, y, xi, yi, 64, 64); shifted.unroll(x, 2); gray.compute_at(shifted, x); gray.vectorize(x, 4); Ix.compute_at(shifted, yi); shifted.compute_root(); shifted.bound(y, 0, 2568); Iy.compute_at(shifted, yi); Ix.unroll(x, 2); shifted.vectorize(xi, 4); Iy.compute_at(shifted, x); gray.unroll(x, 4); shifted.unroll(xi, 2); Ix.unroll(x, 3); Ix.unroll(x, 4); gray.unroll(x, 3); Iy.unroll(x, 2); Iy.vectorize(x, 8); Iy.unroll(x, 4); shifted.parallel(y); shifted.unroll(x, 4); "
68.83551,30,843.003299,0.047431101,n/a
-33.921921,130,877.456432,0.105407958,n/a
9.036556,8,883.379293,0.569104144,n/a
0.0,2,889.237297,0.660913584,n/a
43.3337,58,911.535556,0.070614147,n/a
-0.931563,11,926.209456,0.635096125,n/a
-46.0,47,968.885602,0.662030416,n/a
19.117357,39,997.313764,0.343478874,n/a
56.157007,52,1042.954466,0.025441783,n/a
25.416846,83,1087.185486,0.017101267,"shifted.tile(x, y, xi, yi, 16, 128); shifted.parallel(y); shifted.unroll(x, 4); shifted.vectorize(xi, 4); shifted.unroll(xi, 2); Ix.compute_at(shifted, yi); Ix.compute_at(shifted, x); Iy.compute_at(shifted, x); shifted.unroll(x, 3); Iy.vectorize(x, 8); shifted.compute_root(); gray.compute_at(shifted, x); "
-3.633292,63,1150.218171,0.361689011,n/a
19.566707,75,1205.59441,0.115413699,n/a
51.036193,39,1246.683793,0.158647689,n/a
55.806768,37,1293.778517,0.080722905,n/a
-20.561416,92,1372.977448,0.267633824,n/a
50.079704,47,1423.799809,0.105397202,n/a
-53.759913,75,1438.478096,0.022804925,n/a
27.257839,73,1492.538097,0.071116376,n/a
-20.0,27,1524.042547,0.662030416,n/a
14.30933,84,1572.367527,0.050914575,n/a
22.189018,37,1609.011493,0.349624767,n/a
69.225994,40,1633.838206,0.018364766,n/a
34.225716,43,1664.889413,0.223596031,n/a
-21.272873,118,1700.84509,0.107731367,n/a
-22.184986,67,1772.931797,0.464645958,n/a
77.839638,14,1794.473312,0.10698651,n/a
36.851267,46,1861.066849,0.166492261,n/a
77.495535,25,1871.578152,0.01658032,"shifted.tile(x, y, xi, yi, 128, 32); shifted.vectorize(xi, 8); shifted.parallel(y); Ix.compute_at(shifted, x); gray.compute_at(shifted, x); gray.unroll(x, 4); "
80.598214,23,1882.959669,0.015900556,"shifted.tile(x, y, xi, yi, 128, 256); Ix.compute_at(shifted, x); gray.compute_at(shifted, x); Iy.compute_at(shifted, x); shifted.bound(x, 0, 3848); gray.store_at(shifted, y); shifted.parallel(y); "
26.38169,82,1942.982225,0.07029644,n/a
33.557669,57,1998.589437,0.155195364,n/a
49.54349,42,2051.551707,0.15528923,n/a
11.358561,102,2145.648491,0.037348045,n/a
76.306674,14,2149.911585,0.090653986,n/a
8.238191,80,2215.503405,0.124208881,n/a
39.157186,62,2262.92541,0.091643637,n/a
24.733629,87,2315.464185,0.034864978,n/a
36.555407,69,2354.141808,0.075766688,n/a
-11.721754,129,2421.596567,0.018018842,n/a
37.44188,69,2473.74762,0.083138575,n/a
55.133411,41,2485.199308,0.085180734,n/a
66.785563,43,2504.376876,0.014660244,"shifted.tile(x, y, xi, yi, 64, 64); Ix.compute_at(shifted, x); shifted.compute_root(); shifted.parallel(y); shifted.bound(x, 0, 3848); gray.compute_at(shifted, x); gray.vectorize(x, 8); shifted.bound(y, 0, 2568); shifted.vectorize(xi, 4); Ix.vectorize(x, 4); Ix.unroll(x, 2); Iy.compute_at(shifted, yi); Iy.compute_at(shifted, x); "
65.252317,24,2526.187421,0.124115365,n/a
55.151688,53,2566.240853,0.051958213,n/a
