loss_pol_entpen,loss_vf_loss,EpLenMean,EpRewMean,EpExecMean,loss_pol_surr,EpThisIter,EpisodesSoFar,TimestepsSoFar,TimeElapsed,loss_ent,loss_kl,ev_tdlam_before
-0.12655294,583.11597,22.454545454545453,54.928631292575254,0.0023561337272727276,-0.105725676,11,11,247,207.61602449417114,4.2184315,0.03003852,0.00492703914642334
-0.1256462,252.11497,25.25,54.21083650139463,0.0017949601874999999,-0.077546045,5,16,404,359.4909191131592,4.1882067,0.035999157,0.16925793886184692
-0.124176644,136.86227,38.15,37.17452703484625,0.0015831028000000001,-0.07818407,4,20,763,455.9819965362549,4.139221,0.052350704,0.3346523642539978
-0.12013607,213.11678,39.291666666666664,37.015720520001445,0.0014201176666666666,-0.11983753,4,24,943,612.0122814178467,4.0045357,0.07738506,0.21142250299453735
-0.11761745,182.7797,46.370370370370374,33.65819077074049,0.0013577351851851852,-0.08849462,3,27,1252,748.5852680206299,3.9205816,0.049965672,0.43289119005203247
-0.117926195,143.56958,45.06060606060606,32.24770872881608,0.0012342456666666667,-0.12448042,6,33,1487,928.7448976039886,3.930873,0.05448691,0.1749967336654663
-0.118884355,38.531548,52.529411764705884,25.82193212793376,0.0012510524705882354,-0.048084356,1,34,1786,963.9569919109344,3.9628117,0.051309943,0.18150562047958374
-0.11344203,526.90674,40.13725490196079,34.400362986497306,0.0012845878823529412,-0.09597937,17,51,2047,1279.313440322876,3.781401,0.057503037,0.40907877683639526
-0.11342839,370.8707,39.10344827586207,35.5228713712702,0.0022598338620689654,-0.11076433,7,58,2268,1513.244999885559,3.7809463,0.0683579,0.4770345091819763
-0.101844355,400.43317,35.52777777777778,40.84029095593053,0.0023698320416666667,-0.109314755,14,72,2558,1796.4610633850098,3.394812,0.23155537,0.5504037439823151
-0.10064286,824.2407,27.45,44.58226637906704,0.0019235169100000004,-0.10861929,33,105,2808,2226.679277420044,3.354762,0.048900276,0.6018400192260742
-0.10407128,676.3912,12.36,58.22466756080224,0.0028269949799999998,-0.10700731,30,135,3070,2581.91024017334,3.4690428,0.06451915,0.4532794952392578
-0.10232696,926.5994,7.64,68.5728363683257,0.00224542034,-0.11211354,38,173,3327,2997.8428440093994,3.4108987,0.06986071,0.5508015155792236
-0.09866116,701.5511,7.55,73.48998517609802,0.0022639016899999994,-0.0983994,34,207,3582,3413.6741070747375,3.2887053,0.08134474,0.6649028658866882
-0.101618946,459.0872,7.46,75.05688541851882,0.00115598979,-0.08551296,31,238,3837,3781.9418427944183,3.387298,0.053070545,0.6109343469142914
-0.10034996,361.02927,8.22,69.67063853997084,0.0018198765599999997,-0.072783515,25,263,4086,4064.3959670066833,3.3449988,0.05676809,0.5386440455913544
-0.091179125,505.1737,8.28,66.90821502225016,0.00188185518,-0.076446205,38,301,4350,4516.500976324081,3.0393043,0.034346417,0.756936103105545
-0.09408042,465.16956,7.34,72.77865032971488,0.0014833317199999998,-0.09663041,43,344,4606,4980.9800407886505,3.1360142,0.06826676,0.7516255527734756
-0.08717483,227.4122,7.12,77.68113904156314,0.00086812231,-0.07725459,26,370,4855,5260.261002540588,2.9058278,0.09133765,0.7866966128349304
-0.07953298,343.3714,6.99,73.89168846360548,0.00173004891,-0.038159017,45,415,5117,5609.591216802597,2.6510994,0.024459593,0.4970754384994507
-0.08646613,383.7094,5.26,74.8862488575954,0.0019159531400000005,-0.06530728,53,468,5371,6059.227092504501,2.8822045,0.04628511,0.7772727608680725
-0.09224276,298.5238,5.45,74.44519621893943,0.00126350215,-0.06332421,41,509,5627,6436.296753168106,3.074759,0.05633627,0.771709993481636
-0.08416692,289.45502,5.4,73.58530045687601,0.0009504867599999998,-0.060710497,51,560,5872,6806.005779266357,2.8055642,0.05668112,0.8066464513540268
-0.086339414,152.6523,5.8,66.0800866060331,0.00152676467,-0.049142487,38,598,6143,7126.252554655075,2.8779807,0.039930165,0.6461448967456818
-0.07870912,167.10934,6.26,66.51695096311019,0.0016060918400000001,-0.06504379,42,640,6383,7476.75404047966,2.6236374,0.043998033,0.8671525567770004
-0.07912707,307.73804,4.4,77.472196239109,0.0012610207,-0.059766285,70,710,6654,7983.4497311115265,2.637569,0.048074536,0.8674627542495728
-0.073693246,205.93143,4.15,78.37582532499792,0.00114787289,-0.027612425,39,749,6853,8265.794946432114,2.4564419,0.028151242,0.7982519418001175
-0.06898442,143.78789,6.56,77.05875205432558,0.0013155722699999999,-0.069827005,22,771,7164,8456.176093578339,2.299481,0.0468481,0.6528643667697906
-0.07737999,261.73187,6.02,72.19704737283065,0.00105918073,-0.053473495,72,843,7424,8964.712536096573,2.5793328,0.069168195,0.8894481658935547
-0.0822206,135.35872,4.11,75.67562942362157,0.00086455962,-0.025476076,56,899,7680,9378.307535648346,2.7406867,0.018588725,0.9128183946013451
-0.08299043,203.98547,4.48,76.94914635323858,0.0008684156,-0.04904879,56,955,7936,9797.365352869034,2.7663476,0.041043147,0.8010162711143494
-0.084061176,122.95157,4.53,76.89433840165923,0.00105165683,-0.031639643,56,1011,8185,10213.978969097137,2.8020391,0.03507888,0.8781614080071449
-0.06977551,71.56571,5.04,73.78949344110643,0.00121586413,-0.019434128,33,1044,8405,10502.038186311722,2.3258502,0.04006975,0.8892240151762962
-0.0070270197,110.62549,5.04,73.78949344110643,0.00121586413,-0.00021390803,0,1044,8405,10508.040493488312,0.23423399,0.0026206025,-0.08752501010894775
-0.05255612,43.19331,10.17,62.86824106528397,0.0013489320500000002,-0.080826804,12,1056,8955,10610.317934274673,1.7518708,0.13499498,0.7628528624773026
