TimestepsSoFar,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_ent,ev_tdlam_before,loss_kl,TimeElapsed,EpExecMean,loss_pol_surr,loss_vf_loss,EpLenMean,EpRewMean
139,-0.21642461,2,2,7.2141542,-0.012875795364379883,0.012350903,793.136148929596,0.28569883100000004,-0.12949514,76.64598,69.5,-50.054965993523886
371,-0.21522214,3,5,7.1740713,-0.5059933662414551,0.04281363,1666.3340220451355,0.23552506220000002,-0.14342058,251.0663,74.2,-43.70067664695343
576,-0.21396938,1,6,7.132313,0.09642726182937622,0.035574622,2522.0663602352142,0.22915213833333337,-0.11740754,153.47018,96.0,-64.40277150667893
947,-0.21283142,1,7,7.094381,0.1434718370437622,0.053911824,3172.80450797081,0.22797168771428572,-0.12766172,106.35176,135.28571428571428,-99.13940045596662
1116,-0.21373533,1,8,7.1245112,0.11046493053436279,0.042231314,3900.2541744709015,0.222833006625,-0.122033015,94.862854,139.5,-103.18895953554517
1437,-0.21091378,1,9,7.0304594,-0.4376981258392334,0.036196187,4524.90719294548,0.2323715808888889,-0.1408897,101.78283,159.66666666666666,-125.72351958715126
1634,-0.21019587,1,10,7.006529,-0.4298914670944214,0.043650694,5460.010006189346,0.23872927559999998,-0.13894631,78.60501,163.4,-132.0387133138693
1987,-0.20879549,1,11,6.95985,-1.3773789405822754,0.04788815,6210.186160326004,0.2342622366363636,-0.11708388,39.151237,180.63636363636363,-147.43702634346963
2262,-0.21144712,1,12,7.048238,0.5783465206623077,0.03758417,7017.298224687576,0.22898857574999998,-0.13269831,83.53433,188.5,-153.5164504544766
2523,-0.20879029,1,13,6.9596767,0.08906769752502441,0.030966781,7881.197491407394,0.23511869876923075,-0.111012965,56.89244,194.07692307692307,-161.78441580413227
2781,-0.20768437,2,15,6.9228125,0.19009721279144287,0.048842944,8650.479989290237,0.2181304946,-0.16675481,87.769615,185.4,-148.59886752256335
2781,-0.20980634,0,15,6.9935446,0.29414552450180054,0.042552404,9324.254801511765,0.2181304946,-0.1343716,19.996243,185.4,-148.59886752256335
3199,-0.20531765,1,16,6.8439217,0.35158443450927734,0.07290867,10027.054641008377,0.211532411875,-0.14916229,202.35406,199.9375,-160.02801994005608
3567,-0.2071655,2,18,6.9055166,0.25323760509490967,0.057930075,11151.27138376236,0.21868663138888889,-0.13475373,68.915695,198.16666666666666,-161.84570021022208
3792,-0.20763388,1,19,6.921129,-0.03831136226654053,0.056853257,11994.802624940872,0.20940156236842106,-0.114462346,97.45009,199.57894736842104,-159.0482364532873
4016,-0.20662555,1,20,6.8875194,-0.5433681011199951,0.05333571,12795.758671283722,0.214365493,-0.14213333,44.934753,200.8,-161.94582463062292
4306,-0.20827904,2,22,6.942635,-0.4366018772125244,0.06614706,13597.036504030228,0.2063659866818182,-0.13442627,179.57211,195.72727272727272,-154.53612350991972
4549,-0.20910975,1,23,6.9703255,0.013315379619598389,0.04967904,14231.495049476624,0.2088217242608696,-0.13629553,46.109535,197.7826086956522,-157.43247453522855
4863,-0.207042,1,24,6.9013996,0.20580649375915527,0.07146034,14864.286625623703,0.20488734120833332,-0.10942568,49.616447,202.625,-160.79195014845598
5067,-0.20771414,1,25,6.9238048,0.7020445168018341,0.039018292,15773.855328559875,0.20239518456,-0.12808159,28.61049,202.68,-159.9679246521096
5318,-0.20672193,1,26,6.890731,0.09260821342468262,0.045366354,16368.254128694534,0.19625503846153844,-0.12959985,39.060394,204.53846153846155,-160.11722504717682
5626,-0.20671985,1,27,6.8906617,-0.16364943981170654,0.059455987,17025.209436655045,0.19143611466666666,-0.13377446,79.10206,208.37037037037038,-162.31392171285137
5863,-0.20292413,2,29,6.7641377,-0.020034432411193848,0.055023357,18029.99792575836,0.1898948641724138,-0.11978555,153.27663,202.17241379310346,-155.96659791576542
