loss_pol_surr,EpLenMean,loss_kl,TimestepsSoFar,ev_tdlam_before,TimeElapsed,loss_pol_entpen,EpisodesSoFar,EpExecMean,EpRewMean,EpThisIter,loss_vf_loss,loss_ent
-0.13582554,27.4,0.051827755,137,-0.03932023048400879,254.97451496124268,-0.13662711,5,0.4017543014,17.04793572442048,5,162.92014,4.5542364
-0.13634549,49.1,0.03523234,491,0.32264506816864014,505.08780694007874,-0.13525622,10,0.25071015669999996,23.088372168505142,5,242.47804,4.5085406
-0.12170312,47.6,0.029690146,714,0.04377979040145874,705.9643034934998,-0.13573875,15,0.24139992939999996,25.829569774551537,5,199.64886,4.524625
-0.12097196,49.75,0.036592048,995,0.2490888237953186,894.4294576644897,-0.13473392,20,0.23571638899999997,24.905684144678816,5,338.5237,4.491131
-0.120189905,46.666666666666664,0.03606058,1260,0.15982133150100708,1174.7440311908722,-0.13280015,27,0.21232877244444445,30.098896729267626,7,331.01743,4.4266715
-0.13577315,43.65714285714286,0.036794003,1528,0.21346300840377808,1450.6319575309753,-0.13185108,35,0.20595845725714285,32.56466145207538,8,356.044,4.395036
-0.12196571,38.91304347826087,0.043022078,1790,0.24679994583129883,1734.1521515846252,-0.13028413,46,0.22255401760869564,32.96626315471858,11,250.69781,4.342805
-0.12414699,39.72549019607843,0.046728782,2026,0.22346419095993042,1905.0770823955536,-0.1286827,51,0.212022269372549,33.92941022642023,5,150.48053,4.289423
-0.108360074,39.06896551724138,0.05035738,2266,0.2624112367630005,2075.7217276096344,-0.12605923,58,0.1972030066724138,37.06799937435266,7,360.77423,4.201975
-0.12532675,40.63492063492063,0.04766995,2560,0.38746529817581177,2309.7091343402863,-0.12749833,63,0.19519925500000004,35.158743708249865,5,70.197525,4.2499447
-0.11162552,37.87837837837838,0.0768211,2803,0.42300254106521606,2468.3187267780304,-0.11544809,74,0.18504742935135135,39.7014665347446,11,338.408,3.84827
-0.11288093,36.04705882352941,0.050280623,3064,0.47810471057891846,2700.269535779953,-0.11756288,85,0.16985331316470587,43.59582294315447,11,287.5694,3.9187624
-0.10536859,33.464646464646464,0.047063358,3313,0.4618360996246338,2856.1051778793335,-0.12060583,99,0.16254901897979798,47.31725160874553,14,307.15005,4.020194
-0.1073829,30.06,0.03448373,3572,0.5329508781433105,3068.634047985077,-0.1174194,112,0.14643198486000003,52.38489765347299,13,264.73395,3.9139802
-0.1101741,27.78,0.0446377,3816,0.568414032459259,3190.1958904266357,-0.117810726,121,0.13160356709,56.60720591583371,9,239.7611,3.9270241
-0.11669126,25.65,0.047233775,4093,0.5591475963592529,3344.396641254425,-0.11163427,135,0.11764743131000001,61.080673782975126,14,278.76828,3.7211423
-0.0969982,25.42,0.046744075,4332,0.5904668569564819,3471.1671738624573,-0.11532499,146,0.09278257804000001,65.40965072952913,11,202.77118,3.8441663
-0.09153987,22.81,0.052015744,4586,0.6541098356246948,3619.451200723648,-0.11284622,159,0.08638634216999998,68.11737234050233,13,240.79292,3.7615407
-0.10542384,20.67,0.042289995,4756,0.6925509572029114,3770.269634246826,-0.11331498,169,0.07522193292,72.3449202897749,10,162.58713,3.7771664
-0.097804666,22.61,0.07154892,5093,0.705145537853241,3860.8204786777496,-0.11350587,176,0.07338617087,70.942518646949,7,131.39706,3.7835293
-0.09481314,22.55,0.055232458,5360,0.6022904515266418,3976.608302593231,-0.109460555,187,0.07080922796,71.77974463332598,11,166.5043,3.6486852
-0.07498111,23.34,0.040132344,5630,0.6289315521717072,4115.325375318527,-0.09849184,198,0.06230840113,72.40970057097196,11,204.38147,3.2830613
-0.08688013,23.56,0.043099932,5873,0.6443457007408142,4232.169928789139,-0.10471451,209,0.05226981451999998,74.03763532578927,11,201.83147,3.490484
-0.061465327,22.15,0.035562083,6132,0.772423654794693,4403.430145978928,-0.0978466,227,0.047105020180000005,75.7346656017928,18,177.40863,3.2615533
-0.07308404,21.02,0.03844482,6392,0.6625252664089203,4562.704311847687,-0.10218195,244,0.041704884430000005,77.53085018983823,17,262.20422,3.406065
-0.05145158,21.36,0.043076098,6655,0.772063821554184,4689.089140176773,-0.093686715,257,0.04004867172999999,77.75413128485927,13,155.97916,3.1228905
-0.07524322,19.08,0.048893824,6901,0.8033982664346695,4819.052174091339,-0.09861921,271,0.03803427172,80.26587731382101,14,120.94645,3.2873068
-0.071451254,16.87,0.04696688,7154,0.6575643122196198,5024.76002073288,-0.099754885,291,0.04371585315000001,80.71320940369523,20,197.14188,3.3251626
-0.09613274,14.88,0.07172954,7421,0.657627284526825,5237.130753993988,-0.0874388,313,0.04872975332,81.52354021169427,22,282.53253,2.914627
-0.06915808,14.63,0.052406378,7672,0.78568534553051,5413.059356212616,-0.09563364,332,0.04911979385999999,80.92921946096592,19,177.34058,3.1877882
-0.082028605,14.17,0.046012014,7864,0.6469119191169739,5580.525995731354,-0.102790006,348,0.052490043699999996,80.47648675927208,16,230.80467,3.4263334
-0.05007059,14.17,0.13662812,7864,0.18639105558395386,5614.910308122635,-0.12260418,348,0.052490043699999996,80.47648675927208,0,8.458301,4.0868063
-0.044808723,14.17,0.119022265,7864,-0.20837604999542236,5615.654507160187,-0.11534615,348,0.052490043699999996,80.47648675927208,0,9.248173,3.8448718
-0.03534253,14.17,0.06644529,7864,-0.28464412689208984,5616.450185775757,-0.110766165,348,0.052490043699999996,80.47648675927208,0,3.555987,3.6922057
-0.03208512,14.17,0.100565076,7864,-0.19317102432250977,5617.263215065002,-0.10924131,348,0.052490043699999996,80.47648675927208,0,18.703358,3.641377
