test, algo, img, arch, sched, exec_sec
test 89 algo img arch sched exec_sec, 3, 3, 1, 1, 0.077229304
test 90 algo img arch sched exec_sec, 3, 3, 1, 2, 0.085887095
test 91 algo img arch sched exec_sec, 3, 3, 1, 3, 0.067931187
test 92 algo img arch sched exec_sec, 3, 3, 1, 4, 0.065266351
test 93 algo img arch sched exec_sec, 3, 3, 1, 5, 0.067692603
test 94 algo img arch sched exec_sec, 3, 3, 1, 6, 0.063572358
test 95 algo img arch sched exec_sec, 3, 3, 2, 1, 0.016228328
test 96 algo img arch sched exec_sec, 3, 3, 2, 3, 0.019700305
test 97 algo img arch sched exec_sec, 3, 3, 2, 4, 0.021417835
test 98 algo img arch sched exec_sec, 3, 3, 2, 5, 0.021125955
test 99 algo img arch sched exec_sec, 3, 3, 2, 6, 0.018519960
