TimeElapsed,TimestepsSoFar,EpThisIter,EpLenMean,loss_pol_entpen,EpExecMean,loss_pol_surr,EpisodesSoFar,loss_kl,loss_vf_loss,EpRewMean,loss_ent,ev_tdlam_before
181.3864586353302,121,5,24.2,-0.12673636,0.007997958599999999,-0.092885,5,0.023750845,472.40854,65.08756801370707,4.2245455,0.0015156269073486328
280.43107509613037,500,3,62.5,-0.12599105,0.0053103908749999994,-0.06392872,8,0.028208233,224.90425,34.24699904434763,4.1997023,0.1530015468597412
468.85980105400085,744,8,46.5,-0.123132646,0.0035903396874999998,-0.107628524,16,0.05088891,488.00723,33.68155144631024,4.1044216,0.2148253321647644
604.0414712429047,1007,4,50.35,-0.123541445,0.00301199275,-0.08457843,20,0.03767926,261.03317,35.37336823248908,4.118048,0.17296123504638672
766.774402141571,1235,6,47.5,-0.12069379,0.002507635269230769,-0.08564417,26,0.042307906,192.51303,34.82515751303596,4.023126,0.36894476413726807
907.4664537906647,1512,8,44.470588235294116,-0.12129712,0.0020894212647058824,-0.08438903,34,0.05027862,90.75777,30.16265732668293,4.0432377,0.41170966625213623
1144.1212158203125,1757,14,36.604166666666664,-0.11705405,0.0020382917500000003,-0.093006745,48,0.04146351,453.58633,36.091705722139814,3.9018018,0.43780720233917236
1282.1316225528717,2044,7,37.163636363636364,-0.11952358,0.0018841946909090906,-0.10402535,55,0.0704738,157.7141,37.708104345369605,3.9841194,-0.16366314888000488
1595.0153410434723,2302,25,28.775,-0.106572755,0.00156963485,-0.0922585,80,0.055334285,673.7112,49.07356395216216,3.5524254,0.3385000228881836
1770.1795363426208,2424,15,25.51578947368421,-0.110769644,0.0014566649368421055,-0.06626329,95,0.0428121,369.78796,55.00341450553269,3.6923215,0.3733011484146118
1829.9466450214386,2815,5,28.15,-0.11569155,0.00142778422,-0.084695145,100,0.06423154,101.785934,52.544951026015035,3.8563852,0.2704687714576721
2087.7325270175934,3072,38,14.56,-0.09981072,0.00103843577,-0.049309798,138,0.04058251,652.436,68.95133331731125,3.327024,0.20845544338226318
2220.2913210392,3139,9,13.86,-0.11020133,0.0010495251799999999,-0.06159743,147,0.080573834,210.05713,71.5084999482563,3.673378,0.3347132205963135
2234.2770578861237,3139,0,13.86,-0.113074556,0.0010495251799999999,-0.032113187,147,0.061853044,43.175125,71.5084999482563,3.769152,-0.054322242736816406
2520.7093369960785,3839,38,14.9,-0.095402226,0.0011475579299999998,-0.04819414,185,0.053566422,656.4259,70.54874152234996,3.1800742,0.37054210901260376
2845.860822916031,4091,44,10.56,-0.09300427,0.0011412338300000001,-0.051835537,229,0.04946405,635.079,77.96849954955333,3.100143,0.43599092960357666
3187.8792679309845,4352,46,5.59,-0.09302736,0.0016985811900000001,-0.041688446,275,0.09005569,500.752,78.17214790273201,3.100912,0.5565581321716309
3486.2633748054504,4597,35,6.08,-0.09424385,0.00166129638,-0.045416113,310,0.050460078,391.6776,74.46594547121296,3.1414614,0.5661189556121826
3796.2823615074158,4842,40,6.35,-0.09143046,0.00118831173,-0.051864177,350,0.07263773,422.2764,73.46953339064899,3.0476823,0.6193252801895142
4135.245551109314,5113,36,6.88,-0.09194423,0.0010503444900000001,-0.017071668,386,0.31604487,371.99078,77.13388191903327,3.0648077,0.7389644086360931
