#{"t_start": 1533146192.8785262, "env_id": "HalideInterpolate-v2"}
r,l,t,best_exec,best_schedule
-365.0,402,627.248058,0.326542712,n/a
0.0,1,633.505062,0.318677675,"interpolated[8].tile(x, y, xi, yi, 64, 64); interpolated[4].tile(x, y, xi, yi, 8, 64); "
4.024043,3,642.644984,0.302356117,"interpolated[8].tile(x, y, xi, yi, 8, 128); interpolated[5].tile(x, y, xi, yi, 256, 16); interpolated[1].vectorize(x, 4); "
-145.0,204,1030.288826,0.326542712,n/a
-241.0,271,1535.45278,0.326542712,n/a
-118.203784,168,1765.236867,0.317411872,n/a
-119.472056,169,2029.971769,0.31561751,n/a
6.564865,10,2055.657573,0.29857477,"interpolated[4].tile(x, y, xi, yi, 64, 64); downsampled[8].tile(x, y, xi, yi, 512, 128); downsampled[4].tile(x, y, xi, yi, 16, 8); interpolated[6].tile(x, y, xi, yi, 128, 512); interpolated[5].parallel(y); interpolated[4].unroll(c, 4); interpolated[1].unroll(x, 4); downsampled[7].vectorize(x, 16); "
4.713942,21,2105.443876,0.288291688,"normalize.tile(x, y, xi, yi, 512, 32); downsampled[3].tile(x, y, xi, yi, 16, 64); downsampled[1].tile(x, y, xi, yi, 64, 512); downsampled[4].tile(x, y, xi, yi, 512, 256); interpolated[7].tile(x, y, xi, yi, 256, 128); downsampled[3].unroll(xi, 2); interpolated[6].tile(x, y, xi, yi, 8, 16); downsampled[2].split(y, yi, 64); downsampled[5].tile(x, y, xi, yi, 128, 256); downsampled[7].vectorize(x, 16); interpolated[1].tile(x, y, xi, yi, 512, 8); interpolated[8].tile(x, y, xi, yi, 256, 256); interpolated[3].split(y, yi, 8); normalize.vectorize(xi, 16); "
-128.0,179,2385.25488,0.318804158,n/a
-285.829513,326,3018.876253,0.301941818,n/a
-121.0,130,3296.961256,0.319014381,n/a
-252.0,286,3946.838128,0.315639719,n/a
-254.875883,330,4454.912187,0.315184982,n/a
20.91998,2,4460.87513,0.246599515,"interpolated[6].tile(x, y, xi, yi, 512, 32); normalize.unroll(x, 4); "
-328.520948,363,4988.92341,0.313612856,n/a
-145.878214,203,5396.073859,0.308381533,n/a
-57.037124,110,5645.457629,0.286482031,n/a
-73.117633,124,5976.745065,0.317130551,n/a
-284.34318,350,6622.213119,0.259089372,n/a
-76.554413,137,6907.439076,0.279371699,n/a
-9.189925,71,7021.147522,0.209607521,"downsampled[2].tile(x, y, xi, yi, 32, 512); interpolated[2].tile(x, y, xi, yi, 128, 64); normalize.tile(x, y, xi, yi, 256, 128); interpolated[7].tile(x, y, xi, yi, 64, 256); downx[2].compute_at(downsampled[2], x); downsampled[1].tile(x, y, xi, yi, 16, 512); interpolated[6].tile(x, y, xi, yi, 8, 512); downsampled[8].tile(x, y, xi, yi, 8, 256); downsampled[3].tile(x, y, xi, yi, 128, 64); interpolated[1].split(y, yi, 8); downsampled[6].split(y, yi, 8); downsampled[8].unroll(c, 4); downsampled[5].tile(x, y, xi, yi, 64, 32); interpolated[4].unroll(c, 3); downsampled[6].unroll(c, 2); downsampled[3].unroll(xi, 4); downsampled[1].parallel(c); downx[7].compute_at(downsampled[7], x); interpolated[4].split(y, yi, 8); downsampled[4].tile(x, y, xi, yi, 128, 8); downsampled[5].parallel(c); downx[8].compute_at(downsampled[8], x); interpolated[5].split(y, yi, 512); downsampled[8].unroll(xi, 3); interpolated[8].unroll(x, 2); normalize.unroll(c, 3); normalize.vectorize(xi, 8); "
-198.0,210,7341.263434,0.321159974,n/a
-245.998539,288,7843.551858,0.293883671,n/a
-387.650561,441,8730.70815,0.31587683,n/a
-117.0,165,8985.146572,0.31532676,n/a
-382.0,430,9761.451162,0.317775955,n/a
-151.0,198,10036.143775,0.31405055,n/a
-100.565777,150,10263.740819,0.315328506,n/a
-133.636101,182,10549.029014,0.315558145,n/a
-183.482738,256,10881.087755,0.253421961,n/a
-135.574243,187,11089.772887,0.295561747,n/a
-114.18358,180,11268.513723,0.239142212,n/a
-77.711216,123,11514.219873,0.319068856,n/a
-17.447359,85,11714.217808,0.234727964,n/a
-103.076332,148,11997.159879,0.315782824,n/a
5.142841,74,12114.712453,0.156895511,"downsampled[3].tile(x, y, xi, yi, 256, 512); downsampled[8].split(y, yi, 256); downsampled[1].split(y, yi, 256); interpolated[3].split(y, yi, 128); downsampled[2].tile(x, y, xi, yi, 256, 512); downsampled[5].tile(x, y, xi, yi, 32, 32); interpolated[1].tile(x, y, xi, yi, 16, 128); interpolated[2].tile(x, y, xi, yi, 128, 8); interpolated[4].tile(x, y, xi, yi, 128, 64); interpolated[8].tile(x, y, xi, yi, 512, 128); downsampled[8].unroll(x, 2); downsampled[8].vectorize(x, 8); normalize.tile(x, y, xi, yi, 256, 8); downsampled[3].parallel(y); downsampled[7].tile(x, y, xi, yi, 8, 128); interpolated[7].tile(x, y, xi, yi, 32, 32); downsampled[1].unroll(x, 4); downsampled[6].tile(x, y, xi, yi, 128, 16); normalize.unroll(x, 3); downsampled[2].unroll(x, 4); downsampled[4].tile(x, y, xi, yi, 256, 256); interpolated[5].tile(x, y, xi, yi, 256, 32); downsampled[1].unroll(c, 2); normalize.parallel(c); interpolated[5].vectorize(xi, 8); interpolated[1].unroll(x, 4); interpolated[6].tile(x, y, xi, yi, 16, 32); interpolated[1].vectorize(xi, 8); downsampled[1].parallel(y); "
-33.325552,97,12255.385214,0.236173818,n/a
-70.730278,142,12443.971353,0.219529663,n/a
-29.137052,100,12585.340856,0.193989962,n/a
-17.818222,96,12806.516228,0.214924608,n/a
-15.888652,81,12909.518594,0.198859505,n/a
-19.44377,113,13116.855253,0.1581896,n/a
-36.169493,121,13285.386176,0.17688653,n/a
2.91076,82,13420.370622,0.153766481,"interpolated[4].tile(x, y, xi, yi, 128, 8); interpolated[6].unroll(x, 4); normalize.tile(x, y, xi, yi, 16, 8); downsampled[6].vectorize(x, 8); interpolated[1].unroll(c, 4); downsampled[5].tile(x, y, xi, yi, 8, 16); interpolated[7].vectorize(x, 8); interpolated[1].tile(x, y, xi, yi, 128, 256); normalize.parallel(y); downsampled[4].unroll(x, 4); interpolated[8].tile(x, y, xi, yi, 512, 16); downsampled[1].tile(x, y, xi, yi, 512, 256); downsampled[8].tile(x, y, xi, yi, 32, 32); downsampled[6].tile(x, y, xi, yi, 16, 8); interpolated[3].split(y, yi, 512); interpolated[8].unroll(c, 4); interpolated[2].tile(x, y, xi, yi, 64, 16); interpolated[2].unroll(c, 3); downsampled[2].tile(x, y, xi, yi, 512, 128); downsampled[4].tile(x, y, xi, yi, 256, 256); downsampled[8].unroll(xi, 3); downsampled[3].split(y, yi, 256); downsampled[7].tile(x, y, xi, yi, 16, 32); interpolated[7].tile(x, y, xi, yi, 32, 256); downsampled[6].unroll(c, 2); interpolated[5].vectorize(x, 8); downsampled[7].vectorize(xi, 8); interpolated[5].unroll(c, 4); interpolated[6].tile(x, y, xi, yi, 64, 512); interpolated[1].unroll(x, 2); downsampled[1].parallel(y); interpolated[5].tile(x, y, xi, yi, 128, 64); interpolated[5].unroll(x, 3); "
-73.492647,114,13537.372432,0.283249148,n/a
-9.407886,84,13662.65152,0.176698517,n/a
29.065021,60,13734.797758,0.101015919,"normalize.tile(x, y, xi, yi, 128, 128); downsampled[4].tile(x, y, xi, yi, 256, 256); interpolated[6].tile(x, y, xi, yi, 128, 512); downsampled[5].tile(x, y, xi, yi, 8, 8); downsampled[1].tile(x, y, xi, yi, 256, 32); downsampled[8].tile(x, y, xi, yi, 256, 16); normalize.parallel(y); interpolated[5].tile(x, y, xi, yi, 16, 8); downsampled[7].tile(x, y, xi, yi, 32, 64); downsampled[2].tile(x, y, xi, yi, 32, 16); downsampled[3].tile(x, y, xi, yi, 256, 128); downsampled[7].unroll(c, 2); interpolated[8].tile(x, y, xi, yi, 32, 16); interpolated[4].tile(x, y, xi, yi, 32, 16); interpolated[7].tile(x, y, xi, yi, 16, 8); interpolated[1].tile(x, y, xi, yi, 64, 8); interpolated[1].vectorize(xi, 8); downsampled[3].vectorize(xi, 8); downsampled[6].tile(x, y, xi, yi, 16, 512); normalize.parallel(c); downsampled[1].parallel(y); "
10.0828,62,13871.285164,0.183115255,n/a
-25.050803,124,14119.121905,0.132846573,n/a
11.597699,64,14215.664161,0.174381323,n/a
22.050427,63,14312.916648,0.127829524,n/a
6.374136,80,14412.780325,0.139191652,n/a
31.632882,43,14521.933507,0.159385422,n/a
-19.58539,91,14686.587163,0.203168224,n/a
