EpisodesSoFar,EpExecMean,TimeElapsed,loss_pol_surr,ev_tdlam_before,loss_pol_entpen,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_vf_loss,EpThisIter
400,0.14916324761000002,31696.7583630085,-0.09250647,0.656613677740097,-0.1635711,17917,18.1,46.927879567803664,0.12966324,5.45237,69.91666,17
408,0.14516149778,32100.580878019333,-0.08644565,0.41178375482559204,-0.15195796,18142,18.93,47.17987825225142,0.15645257,5.0652657,69.1876,8
418,0.14295308356999997,32528.930159807205,-0.07953292,0.5115780830383301,-0.16102293,18406,19.66,47.38927231644968,0.08169567,5.3674316,57.452557,10
429,0.1389633807,32995.982259750366,-0.092672065,0.6959753036499023,-0.17390558,18674,20.1,48.33603510501867,0.106155336,5.796853,40.09033,11
441,0.13645747685,33463.08020567894,-0.042631708,0.5626119673252106,-0.15632363,18940,20.34,48.70544972897756,0.11770433,5.210788,60.808914,12
447,0.13428822475,33689.94521141052,-0.08102965,-0.021872997283935547,-0.082129836,19161,21.76,48.15734383745792,0.060238317,2.7376614,46.650223,6
457,0.12883022973999997,34122.25701546669,-0.06562414,0.5783266723155975,-0.15573408,19439,22.69,49.09138019408621,0.08744546,5.191136,48.89562,10
470,0.12596621817999998,34639.04492497444,-0.0930632,0.6670898795127869,-0.16139767,19708,22.92,50.032176290616455,0.10277748,5.3799224,46.227966,13
479,0.12190956540999999,35065.81630682945,-0.05694759,0.6643625795841217,-0.16625355,19949,23.66,50.67033120555451,0.0656718,5.5417852,54.08266,9
491,0.11999886503000001,35562.084206819534,-0.08750951,0.6646165549755096,-0.16126609,20209,24.33,50.90925511673952,0.057506785,5.3755364,45.54395,12
501,0.11697943986,35975.94086647034,-0.08428992,0.5089830458164215,-0.14748342,20460,25.22,51.2572061094415,0.056325268,4.916114,66.180565,10
512,0.11487790451000002,36429.29286956787,-0.07065887,0.6888856291770935,-0.16532408,20717,24.69,52.848114470366745,0.085670605,5.5108027,61.4129,11
524,0.11071125661,36904.979145765305,-0.038787737,0.7910371720790863,-0.16858761,20984,24.33,54.3605774282906,0.084510356,5.6195874,41.191395,12
537,0.11126447153000002,37420.90296506882,-0.064950764,0.7214788794517517,-0.16089663,21245,24.19,54.50172459693419,0.06361538,5.363221,50.062607,13
548,0.11154482633999999,37902.771201848984,-0.06838037,0.7574088126420975,-0.15961435,21488,22.43,56.06368027359312,0.066128016,5.3204784,43.96155,11
562,0.11113501725000001,38369.970400094986,-0.076109014,0.7049124836921692,-0.16192964,21750,22.06,56.319258108323666,0.068627685,5.397655,41.915646,14
577,0.11172076284999999,38879.948930978775,-0.026095077,0.8589849770069122,-0.17427933,22005,21.03,57.01148952740982,0.118120305,5.8093114,31.497887,15
597,0.1151534235,39410.862023830414,-0.080053814,0.7596282064914703,-0.17077236,22272,18.95,57.24769294523406,0.08158395,5.692412,48.700775,20
612,0.11815440147,39853.74444079399,-0.071702175,0.7992994040250778,-0.17017181,22514,17.97,56.47813646283429,0.058318138,5.672394,44.71844,15
628,0.11990879289,40356.90135550499,-0.07731661,0.8638180941343307,-0.16282329,22783,17.35,56.282873403709594,0.12966077,5.4274426,31.125452,16
642,0.11747024538,40801.04990744591,-0.06860289,0.7931299954652786,-0.16027278,23031,16.81,57.01784846057136,0.06783649,5.342426,34.55417,14
657,0.11787115043000002,41283.21452951431,-0.08982058,0.8311045467853546,-0.16481538,23293,16.48,56.93699823170452,0.091449305,5.493846,32.448536,15
669,0.11599969037,41768.81722712517,-0.08971675,0.8852406442165375,-0.17096734,23548,16.83,57.23717625386782,0.109676555,5.6989117,20.935608,12
686,0.11385710991,42223.8893558979,-0.064910896,0.8988799452781677,-0.17043294,23791,16.62,57.95609944453453,0.13378027,5.681098,25.930363,17
699,0.11394088039000001,42724.05848932266,-0.09461546,0.7518782615661621,-0.1737192,24043,17.27,57.58601706204976,0.08391668,5.790641,22.24632,13
719,0.12191514581,43291.451083660126,-0.09009031,0.8394035398960114,-0.16632286,24313,16.77,55.64444180545667,0.09491738,5.544095,27.519188,20
735,0.12654935655,43800.59791445732,-0.09227199,0.7933822721242905,-0.16885579,24562,16.29,54.32599461512404,0.102382585,5.6285267,33.197144,16
755,0.13640608972,44378.47929358482,-0.06514082,0.7928541451692581,-0.16346592,24813,15.5,51.87109873663326,0.089786835,5.448864,36.299503,20
772,0.14543460026000005,44877.35846161842,-0.08130999,0.7639831453561783,-0.15526047,25077,14.89,49.5530876358986,0.1191155,5.175349,47.179092,17
789,0.14655423429,45417.19343328476,-0.09699752,0.6875042617321014,-0.16181065,25329,14.57,49.442535754526354,0.12854959,5.3936887,68.51218,17
805,0.14487462127999998,45952.407310009,-0.07730955,0.7687457352876663,-0.16500908,25583,14.45,50.16580636471225,0.15860587,5.5003033,41.01396,16
821,0.14157149733000002,46439.75492358208,-0.07889214,0.7270080149173737,-0.13977274,25852,14.79,50.90416505954664,0.095622875,4.6590915,54.928925,16
845,0.13537090646,46952.78219652176,-0.08356127,0.8078092783689499,-0.14721508,26112,14.18,53.02797531674814,0.0667272,4.9071693,47.833057,24
859,0.12563561957,47451.40889501572,-0.065699056,0.8760900273919106,-0.15646556,26356,14.78,55.965552809642865,0.05112047,5.215519,25.479664,14
872,0.11895280398,47877.9272210598,-0.07411426,0.8654809594154358,-0.15793689,26624,15.47,57.53476976194159,0.1284802,5.264563,23.361221,13
887,0.11718415306000002,48364.29112768173,-0.08237107,0.8608386963605881,-0.16945356,26865,15.76,57.96650022481592,0.12256599,5.648452,35.503002,15
899,0.11361247958000002,48866.176374435425,-0.088792115,0.9032087698578835,-0.17031504,27121,16.45,58.73543852872759,0.09856543,5.677168,17.92795,12
910,0.10786774205,49325.642248630524,-0.079249516,0.8470575362443924,-0.1674646,27382,17.0,60.208828188332056,0.077967,5.5821533,20.561073,11
924,0.10418174263,49868.39539575577,-0.08272187,0.8941336274147034,-0.1538454,27640,17.58,61.10721768318013,0.117687255,5.1281796,23.140175,14
936,0.09942411599000002,50322.94583392143,-0.07199193,0.8940471708774567,-0.16138484,27891,18.55,62.15015540754129,0.10345876,5.3794947,22.276464,12
949,0.09918842539,50804.14083981514,-0.057846278,0.8466792404651642,-0.14925379,28139,19.56,61.8175107903189,0.084481165,4.9751263,26.291403,13
962,0.10118346122000002,51225.43712472916,-0.08333245,0.6455123126506805,-0.1311731,28407,19.96,60.70682943528686,0.09388134,4.3724365,51.928085,13
976,0.09912992705000001,51716.19200849533,0.010436749,0.6964084506034851,-0.16028787,28662,19.78,61.343873867746886,0.28041553,5.342929,32.31163,14
987,0.09919086359,52170.95890593529,-0.08531495,0.7674602568149567,-0.16555047,28917,20.52,60.632129336881356,0.05495357,5.518349,40.952118,11
1001,0.10398520860000002,52665.76149606705,-0.08266457,0.7004262506961823,-0.16498992,29182,20.12,59.106653623554145,0.117492534,5.4996643,38.72888,14
1016,0.11119069755,53169.62307667732,-0.09066778,0.7123554944992065,-0.16565025,29434,19.26,57.00469743437422,0.07313311,5.521675,55.78347,15
1031,0.11395191038000001,53687.65275168419,-0.1057835,0.770368680357933,-0.15662786,29691,19.15,56.2182137414232,0.16992259,5.220929,59.59999,15
1040,0.11489056814999998,54088.87621116638,-0.07079205,0.782775804400444,-0.15278569,29938,19.61,55.66206673643354,0.08853662,5.0928564,32.927834,9
1052,0.11400691739999999,54592.974440813065,-0.094735704,0.7670406848192215,-0.15694979,30182,19.35,56.33117401340133,0.07814373,5.23166,42.768036,12
1064,0.11243535233999999,55047.345264434814,-0.08732185,0.8992109373211861,-0.15899509,30461,20.01,56.41447206832777,0.08163133,5.299836,18.489735,12
1075,0.11414647985000002,55441.56046080589,-0.07462638,0.8594322204589844,-0.14199111,30704,20.61,55.65170789578056,0.071536325,4.733037,25.270136,11
1088,0.11604725928999998,55923.058576345444,-0.060542557,0.8019007295370102,-0.1492363,30958,20.28,55.500564254271275,0.12963822,4.974543,39.355865,13
1103,0.11189227557999998,56352.17126083374,-0.05823831,0.8327006846666336,-0.14373112,31230,20.27,56.75960439380437,0.07430984,4.7910376,44.781124,15
1114,0.10676171532999998,56812.712233543396,-0.0792399,0.7444497346878052,-0.15988131,31476,20.81,58.282023616683865,0.121153735,5.3293767,47.374603,11
1124,0.10279720210999999,57220.14037895203,-0.09408039,0.8689929395914078,-0.15764411,31728,21.48,59.001352382471794,0.09152374,5.2548037,18.748602,10
1135,0.10304380607999997,57649.49139761925,-0.08762731,0.7485722005367279,-0.15246117,31996,21.94,58.70881404684359,0.15860052,5.0820394,38.506954,11
1147,0.10498483714,58131.33403611183,-0.103173316,0.6038122475147247,-0.16708851,32235,21.56,58.43782124085501,0.08926405,5.5696173,69.17686,12
1158,0.10479947626000001,58632.73149037361,-0.104055375,0.7374800443649292,-0.17350143,32498,21.75,58.39201310289845,0.108966395,5.783381,39.752907,11
1169,0.10632672006,59154.74274134636,-0.07769938,0.6808177828788757,-0.16846462,32762,21.73,58.17376259507515,0.09648843,5.615487,59.310837,11
1179,0.10599221521,59696.29197263718,-0.09573302,0.8241017609834671,-0.16968942,32997,22.02,58.11254640023935,0.061629027,5.656314,20.288536,10
1189,0.10498936142999998,60175.39728355408,-0.09709309,0.8507876545190811,-0.16777033,33263,22.84,58.00952893439557,0.101496786,5.5923443,19.451477,10
1197,0.10733440964000002,60591.43524360657,-0.09117326,0.557051032781601,-0.1719435,33504,23.59,56.9760687915154,0.21841186,5.73145,23.695087,8
1208,0.11600964130999998,61140.46659660339,-0.07031797,0.6598053574562073,-0.17327736,33788,24.43,54.07620512700341,0.094451144,5.7759123,47.47297,11
1219,0.12557718337,61693.376188755035,-0.07137299,0.5835396349430084,-0.17306376,34043,24.34,51.313670252729445,0.049032267,5.7687917,40.770763,11
1230,0.13248740151,62189.91504192352,-0.076931454,0.7936201989650726,-0.17794615,34304,24.35,49.277628494369836,0.050910622,5.9315386,31.880508,11
1241,0.13422560508,62713.01093626022,-0.1115699,0.6339565515518188,-0.18162285,34533,23.98,49.13119309647921,0.109193474,6.054095,63.801605,11
1252,0.13951723956999998,63233.56395149231,-0.09448418,0.7607378661632538,-0.18151747,34810,24.69,47.22319810365268,0.10498172,6.050583,38.53069,11
1262,0.14257372253,63783.835131168365,-0.10702469,0.6485058069229126,-0.17836471,35054,24.65,46.35805344521055,0.07166504,5.9454904,64.39264,10
1271,0.14300171623,64265.03473114967,-0.10029582,0.7570301592350006,-0.17656177,35313,25.12,45.5430059262814,0.079033785,5.8853927,26.01339,9
1280,0.14626554187,64759.8739593029,-0.095590055,0.8352195918560028,-0.17725325,35572,25.36,44.509826477217466,0.07421253,5.9084415,21.872593,9
1290,0.14989582334999998,65264.68829011917,-0.10242675,0.7186139225959778,-0.18000247,35824,25.23,43.54319611934871,0.07188232,6.000082,24.476107,10
1302,0.14636159041000002,65793.65388345718,-0.09030962,0.8201439082622528,-0.17438424,36094,24.49,44.7089064428423,0.0668694,5.812808,21.874512,12
1313,0.14017281041000001,66259.71926784515,-0.09505349,0.8193356841802597,-0.16623954,36351,24.49,46.630307101020215,0.1364569,5.541318,27.842373,11
1323,0.13267918920000002,66751.35712051392,-0.09226006,0.8902611956000328,-0.16665635,36593,24.45,48.98547423027467,0.08187317,5.555211,18.804686,10
1334,0.12572321736,67251.39683747292,-0.10229582,0.9257408604025841,-0.16269611,36858,24.71,51.000688051001426,0.14951473,5.4232035,11.773546,11
1345,0.12276371249999998,67747.49587750435,-0.08342445,0.9058535546064377,-0.16444632,37099,24.7,51.85644627989737,0.07271781,5.481544,15.881166,11
1355,0.11794979868000001,68061.57001638412,-0.10616723,0.507039487361908,-0.11239852,37370,24.9,52.47444379858032,0.13531171,3.7466176,28.007929,10
1369,0.11331696022000001,68515.89003825188,-0.045461588,0.807585820555687,-0.15416151,37620,23.66,54.1894164773152,0.06653874,5.1387177,30.67815,14
1384,0.11064585165999999,69010.41011404991,-0.070153505,0.9172367304563522,-0.1508269,37875,22.0,56.3951054658969,0.04669457,5.027564,17.530315,15
1400,0.10696738598,69541.1582596302,-0.051940903,0.87954480946064,-0.14806265,38107,20.54,58.488284431226255,0.03308896,4.935422,28.290958,16
1417,0.10113885081,70046.9209330082,-0.057173356,0.887842483818531,-0.15060087,38374,19.2,60.89327863670098,0.12151568,5.020029,26.064419,17
1428,0.10425630029,70327.52919793129,-0.10398825,0.5653347671031952,-0.12002993,38650,19.2,59.38560404863667,0.24060476,4.0009975,48.914654,11
1446,0.10598513611999998,70829.06524586678,-0.0794988,0.764994278550148,-0.15546793,38907,17.81,59.45926878747794,0.06485516,5.1822643,24.892479,18
1461,0.10895261332,71307.16843175888,-0.07119643,0.8782225921750069,-0.15136084,39163,16.65,59.961484659072724,0.06770434,5.0453615,22.430279,15
1477,0.10872260576000001,71832.74673557281,-0.08172014,0.9422335736453533,-0.1523206,39411,16.64,59.945151153641426,0.08050988,5.0773535,12.463425,16
1492,0.10719889385,72335.63026404381,-0.03548601,0.8699470162391663,-0.14770103,39677,16.87,60.08965781799473,0.071635365,4.923368,26.136837,15
1498,0.10632372671000001,72575.25840783119,-0.114302486,0.2392023801803589,-0.17136934,39881,18.08,59.459794494387616,2.2054095,5.7123117,30.804255,6
1514,0.1160882638,73167.97906589508,-0.07253781,0.7327666878700256,-0.1674571,40191,18.65,56.17516015583285,0.082315154,5.5819035,41.2442,16
1530,0.11628821449,73716.19658231735,-0.08030778,0.8106384128332138,-0.17092034,40447,17.74,57.16248226431096,0.08187243,5.6973453,27.06286,16
1543,0.11726636470999999,74261.08079099655,-0.06647958,0.885414183139801,-0.16870238,40693,18.28,56.52036090788638,0.041991137,5.6234126,21.674145,13
1555,0.11747688451000002,74810.15193915367,-0.09226076,0.949417233467102,-0.16873616,40946,18.83,56.38011875224458,0.067997664,5.6245394,8.202659,12
1566,0.11840745817000002,75113.38261508942,-0.12096482,0.5483201146125793,-0.15882197,41211,19.77,55.073205304793326,0.9446503,5.294066,51.575882,11
1581,0.11927625854,75686.56227397919,-0.06801395,0.9270450919866562,-0.16279154,41455,19.62,55.22142730032818,0.052755445,5.4263844,18.797646,15
1598,0.12497745279000001,76190.550283432,-0.0805789,0.7984554022550583,-0.1610583,41723,18.42,54.44481347579424,0.058816727,5.3686104,33.53736,17
1616,0.1173792729,76727.54240107536,-0.07729243,0.8732952326536179,-0.15690252,41982,17.69,57.20115794591673,0.04842068,5.230084,32.204197,18
1635,0.11483275846000002,77268.9972577095,-0.0751667,0.9539154544472694,-0.15482675,42240,17.19,58.1441037254569,0.054056264,5.1608915,16.702326,19
1652,0.10947333877,77809.35787725449,-0.070671014,0.9308457002043724,-0.15303677,42488,16.07,60.231397755157985,0.060432054,5.1012263,16.088703,17
1665,0.10848315624000002,78242.40151262283,-0.11201581,0.6302549839019775,-0.13167551,42751,15.58,61.1525764298791,0.4437728,4.389184,25.047356,13
1682,0.10683346117999999,78777.85181498528,-0.05404689,0.9293166026473045,-0.1579682,42997,15.24,61.61057963957865,0.07558277,5.265606,13.717202,17
1695,0.10261597796000001,79338.45399856567,-0.06675494,0.9354595169425011,-0.16597533,43247,15.64,62.95617773542592,0.061225805,5.5325108,17.035095,13
1709,0.09949542889,79844.83999013901,-0.06951895,0.9517966993153095,-0.15558252,43499,16.29,63.69181755310465,0.048871778,5.186084,13.017012,14
1725,0.09581399146000001,80350.4677054882,-0.06475336,0.9624100252985954,-0.13887557,43765,16.58,64.81323233243678,0.04160601,4.6291857,12.170207,16
1744,0.09301195844999999,80875.35526394844,-0.07634598,0.9785246029496193,-0.1429812,44032,16.51,66.08909769782277,0.07070265,4.76604,9.954681,19
1757,0.09201101413999999,81380.54527926445,-0.0827913,0.9755284935235977,-0.14503464,44278,16.51,66.69381697644504,0.046598516,4.834488,6.9824347,13
1775,0.09070891698999999,81926.7949783802,-0.06656243,0.9685449562966824,-0.14719705,44540,16.37,67.04191922102979,0.1132624,4.9065685,9.133888,18
1788,0.09003569655999998,82441.27283191681,-0.088365,0.9813187327235937,-0.15840878,44785,16.72,67.21755909983378,0.08395616,5.280293,4.7293267,13
1802,0.08815187877000001,82943.77511525154,-0.083235085,0.9527280852198601,-0.15310985,45052,16.84,66.9900007451399,0.056430735,5.1036615,10.465607,14
1817,0.08635788526999999,83526.46957755089,-0.079788,0.9750986844301224,-0.15162775,45296,16.54,67.83404708110588,0.06846598,5.0542583,8.242906,15
1831,0.08613304871000001,84095.12489509583,-0.081383176,0.9740766528993845,-0.15328291,45555,16.97,67.59278790420531,0.23500171,5.1094303,6.4123077,14
1839,0.08904736901000002,84495.89976143837,-0.13396475,0.6810587346553802,-0.1680741,45680,17.27,66.4769699609771,0.1065949,5.6024704,26.29634,8
