loss_pol_entpen,loss_kl,EpLenMean,loss_pol_surr,ev_tdlam_before,EpThisIter,TimestepsSoFar,loss_vf_loss,TimeElapsed,EpRewMean,EpisodesSoFar,EpExecMean,loss_ent
-0.13085553,0.045083188,63.75,-0.100095004,0.02272927761077881,4,255,157.63168,93.66736841201782,-40.11015666169624,4,0.05776038275,4.3618507
-0.12992102,0.040935837,50.1,-0.11607118,0.20908325910568237,6,501,240.01181,136.95611882209778,-4.90077643796341,10,0.048742050300000006,4.330701
-0.12892276,0.035890035,44.875,-0.0893704,0.14541840553283691,6,718,123.37873,256.0845444202423,1.0676267208724948,16,0.0403088358125,4.2974253
-0.12754898,0.047353826,48.714285714285715,-0.11645329,0.24215513467788696,5,1023,156.70006,362.14879274368286,2.9581035421500954,21,0.03940886885714285,4.2516327
-0.12437571,0.054009106,46.629629629629626,-0.11085206,0.35983359813690186,6,1259,333.88788,464.296630859375,13.132232624382803,27,0.034564073592592594,4.145857
-0.123987965,0.056280836,47.78125,-0.108078234,0.3262515664100647,5,1529,130.6784,568.8391835689545,13.839575115582207,32,0.034381146281250004,4.1329317
-0.12302485,0.05392525,49.75,-0.0899373,0.43034058809280396,4,1791,129.09361,631.5435373783112,15.873091804619808,36,0.03136709405555556,4.100828
-0.120191455,0.056517404,44.43478260869565,-0.112199545,0.3067796230316162,10,2044,297.78406,711.2015378475189,25.457316374745727,46,0.027405525326086963,4.006382
-0.12044465,0.059941158,42.83673469387755,-0.09025712,0.3198288679122925,3,2099,83.12317,749.9134886264801,28.638638166563453,49,0.02610283765306123,4.014822
-0.11948657,0.042552415,42.83673469387755,-0.036029123,-0.19696474075317383,0,2099,73.45535,750.5028300285339,28.638638166563453,49,0.02610283765306123,3.9828858
-0.12050165,0.07775083,42.83673469387755,-0.042210724,-0.023108839988708496,0,2099,59.446182,751.0861003398895,28.638638166563453,49,0.02610283765306123,4.0167217
-0.1173009,0.07637623,42.83673469387755,-0.03754148,-0.02768850326538086,0,2099,54.63982,751.7038540840149,28.638638166563453,49,0.02610283765306123,3.9100301
-0.11476942,0.054679815,42.83673469387755,-0.035028428,-0.0259706974029541,0,2099,50.466476,752.3141157627106,28.638638166563453,49,0.02610283765306123,3.8256476
-0.11300807,0.066093236,42.83673469387755,-0.04143371,-0.02425849437713623,0,2099,46.236324,752.8774576187134,28.638638166563453,49,0.02610283765306123,3.7669356
-0.11121198,0.0565167,42.83673469387755,-0.046411686,-0.023127436637878418,0,2099,42.068085,753.4418137073517,28.638638166563453,49,0.02610283765306123,3.707066
-0.11031568,0.043754913,42.83673469387755,-0.04279355,-0.022443532943725586,0,2099,38.049793,754.0048043727875,28.638638166563453,49,0.02610283765306123,3.6771894
-0.10535087,0.05222151,42.83673469387755,-0.031871013,-0.02210068702697754,0,2099,34.33879,754.5104503631592,28.638638166563453,49,0.02610283765306123,3.5116956
-0.10321249,0.040090937,42.83673469387755,-0.04265419,-0.02189648151397705,0,2099,30.910196,755.0295414924622,28.638638166563453,49,0.02610283765306123,3.4404163
-0.10298241,0.045130476,42.83673469387755,-0.042712487,-0.021827340126037598,0,2099,27.70258,755.5379168987274,28.638638166563453,49,0.02610283765306123,3.4327471
-0.10424018,0.06715572,42.83673469387755,-0.04354253,-0.021955013275146484,0,2099,24.798262,756.0616405010223,28.638638166563453,49,0.02610283765306123,3.4746728
