EpThisIter,EpLenMean,loss_ent,loss_pol_entpen,loss_vf_loss,EpRewMean,loss_pol_surr,EpExecMean,TimeElapsed,ev_tdlam_before,EpisodesSoFar,loss_kl,TimestepsSoFar
2,1.0,7.2432976,-0.21729894,73.68881,0.0,-0.13711026,0.3040710695,512.3627216815948,-0.1440654993057251,2,0.011022514,2
2,100.0,7.2272835,-0.2168185,34.16017,-82.0,-0.13191777,0.31168757575,908.6786062717438,0.43798768520355225,4,0.014015536,400
2,124.66666666666667,7.195454,-0.21586362,32.72989,-99.6139951122412,-0.13749714,0.31218766266666664,1545.1512784957886,-0.6475818157196045,6,0.022248756,748
1,112.85714285714286,7.1594625,-0.21478388,5.174718,-86.74164574838458,-0.13667643,0.3070497304285714,1935.1174426078796,-0.6494982242584229,7,0.038060695,790
1,147.5,7.1307087,-0.21392125,31.189043,-118.77394002983651,-0.1156883,0.30837077825000003,2495.487457036972,-0.48119330406188965,8,0.055894267,1180
0,147.5,7.0789986,-0.21236995,46.439804,-118.77394002983651,-0.1280711,0.30837077825000003,2828.1824288368225,0.6189509332180023,8,0.04004465,1180
2,179.1,7.01992,-0.21059759,42.33877,-146.30236789205847,-0.14411995,0.3101845425,3408.9391689300537,0.975610313937068,10,0.09199783,1791
0,179.1,6.9871974,-0.20961592,5.840955,-146.30236789205847,-0.14478908,0.3101845425,3747.2166464328766,0.5782531797885895,10,0.046570204,1791
2,181.25,6.906228,-0.20718682,20.576263,-148.49566566716592,-0.13026406,0.3112435190833333,4294.356654167175,0.5920458137989044,12,0.04011245,2175
2,176.42857142857142,6.9636583,-0.20890975,48.093513,-144.0425292044072,-0.10523295,0.3076999927142857,4790.502992391586,0.004220902919769287,14,0.058301337,2470
1,182.93333333333334,6.866683,-0.20600049,36.547676,-150.7635584948979,-0.14921859,0.30823049513333334,5273.999046325684,0.11686557531356812,15,0.05268819,2744
0,182.93333333333334,6.93036,-0.20791078,23.25483,-150.7635584948979,-0.122279614,0.30823049513333334,5787.526864051819,0.9044452235102654,15,0.08639153,2744
2,192.88235294117646,6.858773,-0.20576319,17.827593,-159.85553500359316,-0.14654061,0.3064908892352941,6455.44767665863,-0.35701537132263184,17,0.069264255,3279
0,192.88235294117646,6.6486073,-0.19945821,26.65969,-159.85553500359316,-0.14022484,0.3064908892352941,6841.130383729935,0.7889815270900726,17,0.13415173,3279
1,205.27777777777777,6.893961,-0.20681882,21.436998,-171.36719797017122,-0.12434158,0.30650478216666666,7215.415461063385,-1.6173639297485352,18,0.08463451,3695
1,203.31578947368422,7.0052576,-0.21015772,21.246624,-167.2573850695978,-0.10370779,0.30086156110526313,7620.811408996582,0.5318264067173004,19,0.09553602,3863
1,208.35,6.9549694,-0.20864907,20.25927,-171.9945158161179,-0.14690803,0.30178368715000004,8057.134878158569,-0.34084904193878174,20,0.047302872,4167
1,215.23809523809524,6.867545,-0.20602635,11.475334,-176.5937150727867,-0.1189394,0.29694681623809527,8574.935400247574,0.6498023867607117,21,0.07744593,4520
2,209.43478260869566,6.820588,-0.20461765,23.627583,-167.56561793439383,-0.15372778,0.28647155182608697,9117.759036302567,0.2543652653694153,23,0.086357206,4817
0,209.43478260869566,6.8882732,-0.2066482,10.534908,-167.56561793439383,-0.14239164,0.28647155182608697,9591.716637134552,0.380012571811676,23,0.15635762,4817
1,218.33333333333334,6.8855486,-0.20656645,10.161414,-175.9931462103889,-0.107571915,0.28747189158333336,10067.379168272018,-1.3556110858917236,24,0.059095725,5240
0,218.33333333333334,6.860989,-0.20582967,25.289948,-175.9931462103889,-0.13255148,0.28747189158333336,10433.605575084686,0.251644492149353,24,0.104051635,5240
1,226.56,6.873248,-0.20619744,14.458088,-183.0270381420304,-0.14885543,0.28484065752,10806.533609390259,0.6898094117641449,25,0.06762009,5664
1,231.26923076923077,6.892452,-0.20677355,44.700058,-185.04880017499093,-0.14276224,0.2810397000769231,11232.651123046875,0.5983289778232574,26,0.11559236,6013
1,234.5185185185185,6.805642,-0.20416926,16.005314,-185.8825452716191,-0.14354974,0.278025858,11735.466121196747,0.3576750159263611,27,0.08585861,6332
1,237.32142857142858,6.8163867,-0.2044916,9.306446,-188.3424883238954,-0.1528652,0.2773347635357143,12284.945944309235,0.6053439378738403,28,0.09373252,6645
0,237.32142857142858,6.8108597,-0.20432578,5.4614525,-188.3424883238954,-0.1730033,0.2773347635357143,12717.40844631195,0.016215920448303223,28,0.10771701,6645
1,242.27586206896552,6.8198853,-0.20459655,6.852831,-192.12638299048933,-0.14728025,0.277931858862069,13020.199844837189,0.8701915293931961,29,0.055910483,7026
1,242.56666666666666,6.6734695,-0.20020407,6.356899,-192.95550355747304,-0.16156588,0.2793109329666667,13611.29702448845,0.3851737380027771,30,0.0955664,7277
1,243.51612903225808,6.66947,-0.20008409,6.715846,-193.12532534951248,-0.13238575,0.28006577770967744,14166.532309770584,0.7257563471794128,31,0.08947134,7549
1,244.25,6.6569633,-0.1997089,10.290518,-192.69876213483548,-0.13050526,0.2792439685625,14663.549443006516,0.15413767099380493,32,0.13781315,7816
1,243.4848484848485,6.6557584,-0.19967276,10.241351,-192.6534338033526,-0.10383006,0.2803807875757576,15190.537155389786,0.5421119034290314,33,0.07979499,8035
1,244.64705882352942,6.371931,-0.19115792,7.2622733,-194.6015018607579,-0.13280189,0.2814864011764706,15653.54849910736,0.43359750509262085,34,0.069008335,8318
1,247.0,6.2097144,-0.18629143,4.665283,-197.21744290366718,-0.14929089,0.2816691544857143,16116.431914329529,0.855208232998848,35,0.14707825,8645
1,245.22222222222223,6.6673117,-0.20001934,16.53386,-196.39543212273887,-0.11061603,0.2823451456111111,16605.886182546616,-0.04939162731170654,36,0.088543095,8828
1,246.56756756756758,6.568222,-0.19704665,7.222958,-198.35771774104322,-0.1359045,0.2831940771081081,16981.803125858307,0.8486012816429138,37,0.082452804,9123
0,246.56756756756758,6.36215,-0.1908645,14.49776,-198.35771774104322,-0.102865614,0.2831940771081081,17270.450922727585,0.7527888268232346,37,0.091064274,9123
2,247.87179487179486,6.6151114,-0.19845334,72.108505,-199.08296298509228,-0.100119434,0.2848587530769231,17645.895370721817,0.6722665727138519,39,0.07185723,9667
1,246.025,6.6817117,-0.20045134,8.862181,-197.8784515894476,-0.1424413,0.28487317772500004,18088.10742712021,0.5013923346996307,40,0.096791565,9841
