loss_pol_entpen,EpThisIter,EpLenMean,TimeElapsed,ev_tdlam_before,loss_vf_loss,TimestepsSoFar,loss_ent,EpExecMean,loss_kl,EpisodesSoFar,loss_pol_surr,EpRewMean
-0.21645772,2,69.0,833.5606889724731,0.0009330511093139648,116.222824,138,7.2152576,0.1137934855,0.010894244,2,-0.15756999,3.5122935809774134
-0.21566202,1,119.0,1612.0934352874756,0.07277750968933105,71.936935,357,7.188734,0.13684291366666668,0.020732574,3,-0.13163435,-59.81308095672711
-0.2145868,1,153.0,2406.6815073490143,-0.5017815828323364,54.282993,612,7.152893,0.1260908945,0.042569526,4,-0.13541794,-89.23488562315765
-0.21419093,1,181.4,3120.9520518779755,0.7436623275279999,140.43842,907,7.139698,0.13814512299999998,0.045985438,5,-0.12450402,-113.10302085653018
-0.21397556,1,190.16666666666666,4022.980946779251,0.6939913630485535,108.68547,1141,7.1325192,0.14775013166666665,0.028229037,6,-0.14747217,-126.8781856336003
-0.21352707,1,201.42857142857142,4835.186126708984,0.036667704582214355,75.63168,1410,7.117569,0.16416747442857144,0.031563357,7,-0.14900514,-144.9497851216041
-0.21199708,2,192.22222222222223,5839.064519643784,-0.22507619857788086,27.665527,1730,7.0665693,0.18425350499999998,0.032896817,9,-0.13321635,-141.34784160652148
-0.21165493,1,204.3,6494.265876293182,-0.2083038091659546,164.2939,2043,7.055164,0.1802984094,0.047598243,10,-0.12680894,-151.21650367302286
-0.21173288,1,197.63636363636363,7230.594151496887,0.2610361576080322,75.079315,2174,7.0577626,0.16937523963636364,0.040105253,11,-0.12604713,-139.6103852114263
-0.21292256,1,205.75,7883.293343305588,0.6811363995075226,41.284645,2469,7.097419,0.15866832641666667,0.0453859,12,-0.1382353,-141.3338301706476
-0.21022835,1,215.07692307692307,8554.749227046967,0.2942180037498474,152.75943,2796,7.0076118,0.16506691892307693,0.049861446,13,-0.13673656,-152.8167287182714
-0.21096963,1,211.21428571428572,9390.547285318375,0.8066424876451492,49.899353,2957,7.032321,0.17525158049999998,0.053577863,14,-0.13901012,-154.04410523839488
-0.20788792,0,211.21428571428572,9891.085193634033,0.3334463834762573,10.7355385,2957,6.929598,0.17525158049999998,0.084638305,14,-0.15630627,-154.04410523839488
-0.20418268,2,219.75,10882.888045549393,-2.4592068195343018,78.07742,3516,6.8060894,0.188322743375,0.11519018,16,-0.13939184,-169.15779815384275
-0.20949095,1,216.88235294117646,11687.681131124496,-0.179640531539917,59.727135,3687,6.9830317,0.1953286468235294,0.055176944,17,-0.11487208,-169.32060647505733
-0.20450938,1,222.11111111111111,12503.345006227493,-0.4001256227493286,76.891235,3998,6.8169794,0.19485202066666665,0.07593273,18,-0.12538184,-174.786209636669
-0.20530248,1,224.94736842105263,13320.62096953392,-0.13515174388885498,50.608597,4274,6.8434157,0.1904689871578947,0.048313104,19,-0.12069349,-176.49569356975272
-0.20409976,2,212.38095238095238,14143.928147315979,0.3247016668319702,54.13466,4460,6.803325,0.1785350903333333,0.08264925,21,-0.14309336,-160.98950943287105
-0.20912623,1,215.5909090909091,14968.120199918747,0.055265188217163086,53.367104,4743,6.970875,0.17192613859090905,0.11724269,22,-0.114213705,-160.88868191795046
-0.20978263,1,220.7391304347826,15786.948572397232,-0.27735018730163574,242.98282,5077,6.992754,0.17674723008695647,0.03389341,23,-0.12051614,-167.45550627625104
-0.20559388,1,213.875,16534.070749521255,0.789731577038765,29.797749,5133,6.85313,0.17403053954166667,0.07453188,24,-0.14529024,-159.57225151119601
-0.20449223,1,216.48,17275.793075561523,-0.2117002010345459,155.19128,5412,6.816408,0.17344146348,0.06302579,25,-0.13534388,-161.6605788558346
-0.20276836,3,207.96428571428572,18024.659455776215,-0.4195178747177124,113.93857,5823,6.7589455,0.1724877588928571,0.07744667,28,-0.12973395,-152.67721824297513
-0.2032779,3,196.32258064516128,18876.604099988937,0.3942018151283264,35.903732,6086,6.7759304,0.18386617729032256,0.0787926,31,-0.12816145,-145.1874880014206
-0.2050263,0,196.32258064516128,19495.52359843254,0.9261060729622841,27.274366,6086,6.83421,0.18386617729032256,0.19130328,31,-0.14689434,-145.1874880014206
-0.20131889,1,201.84375,20123.421397686005,0.03654986619949341,61.119347,6459,6.71063,0.18313174196875,0.113207035,32,-0.13225277,-150.21679081421007
-0.20812751,2,203.11764705882354,20956.456031560898,0.44994235038757324,22.39762,6906,6.9375834,0.18031802538235298,0.072064854,34,-0.14332816,-150.99684824970265
-0.20213333,3,189.24324324324326,21612.132207155228,-0.21021389961242676,65.00036,7002,6.7377777,0.18675186802702703,0.097618565,37,-0.11869189,-139.65142958395037
-0.20187773,2,189.66666666666666,22248.41950082779,0.06028878688812256,31.796455,7397,6.7292585,0.1846512171025641,0.08075489,39,-0.1393184,-140.46882645014446
-0.1969233,5,170.9090909090909,23091.36543250084,0.6471801102161407,51.57611,7520,6.5641103,0.1882964545,0.11182448,44,-0.13224465,-123.3526676726504
-0.19844645,5,161.6530612244898,23973.181512594223,0.3097362518310547,50.324154,7921,6.6148825,0.19551462140816325,0.24136406,49,-0.12696849,-116.60210868746599
-0.17101863,20,118.46376811594203,24895.77686572075,0.24181807041168213,164.43512,8174,5.700621,0.20410578456521739,0.13279098,69,-0.12271765,-77.87240697637048
-0.20426624,1,117.17142857142858,25463.465364217758,0.7698190212249756,20.626553,8202,6.808875,0.20378796067142857,0.08070732,70,-0.13231629,-76.47582395165921
-0.18599302,5,115.6,26176.53517985344,0.5600979328155518,79.05146,8670,6.1997676,0.19836514119999998,0.11143674,75,-0.12650946,-73.03077120067611
-0.18561459,5,111.0625,26916.477685928345,0.11793047189712524,66.055405,8885,6.187153,0.19407976472500002,0.12777165,80,-0.12735586,-67.00323645812216
-0.18615696,6,106.5813953488372,27680.928782224655,0.37651753425598145,63.973953,9166,6.205232,0.18627682376744187,0.10316451,86,-0.12384647,-59.80980434990067
-0.18739986,5,102.98901098901099,28548.398331165314,0.603584498167038,55.62359,9372,6.246662,0.17997121074725278,0.071192235,91,-0.12408916,-54.05351280155522
-0.19155203,3,103.30851063829788,29209.91648721695,0.6419207751750946,23.778585,9711,6.385068,0.17557919181914897,0.1364905,94,-0.13520843,-52.85288088638573
-0.17316844,12,88.23,30111.002592086792,0.34429222345352173,177.22153,9964,5.7722816,0.16723994435,0.0849078,106,-0.09876509,-35.4141521235632
-0.18187425,2,84.95,30777.883328914642,0.6859004497528076,27.959282,10045,6.062475,0.16423733347,0.11839318,108,-0.12792663,-31.298176308849243
-0.19247898,1,87.53,31331.771889925003,0.8544720113277435,10.912935,10483,6.415966,0.16149471375000002,0.14591745,109,-0.10636227,-32.66670864199074
-0.16395019,7,72.16,32007.762133836746,0.6156071126461029,55.22318,10732,5.4650064,0.15297392141,0.15732421,116,-0.07986532,-15.037089940669064
-0.17663802,7,59.08,32707.173744678497,0.6078882813453674,65.958534,10985,5.887934,0.14737464164,0.12313494,123,-0.087845966,-0.34708666560695933
-0.1748091,10,45.23,33556.92643737793,0.6645457744598389,89.89147,11223,5.8269696,0.13510164799,0.090368845,133,-0.097244486,16.981610999435755
-0.18047774,8,40.54,34408.232494831085,0.4463598132133484,55.874,11512,6.0159245,0.12923145736,0.11329254,141,-0.1333697,24.10373192156893
-0.17230411,12,37.8,35298.63329744339,0.43478232622146606,125.476456,11758,5.74347,0.11539998903000001,0.13518664,153,-0.102339566,31.459566319700503
-0.16286147,13,38.31,36182.62494659424,0.36439448595046997,119.877235,11999,5.4287157,0.10191457098,0.11358221,166,-0.10404597,35.62289882401321
