#{"env_id": "HalideInterpolate-v3", "t_start": 1535069424.2116585}
r,l,t,best_exec,best_schedule
-27.056161,87,293.176985,0.163228438,"interpolated[3].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); interpolated[1].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); interpolated[6].unroll(c, 4); interpolated[1].unroll(y, 4); downx[3].compute_at(downsampled[3], c); downsampled[6].gpu_tile(x, y, c, xi, yi, ci, 16, 16, 4); interpolated[5].gpu_tile(x, y, c, xi, yi, ci, 8, 16, 4); downsampled[8].gpu_tile(x, y, c, xi, yi, ci, 8, 16, 4); interpolated[3].unroll(ci, 2); downsampled[8].unroll(ci, 3); normalize.bound(c, 0, 3); interpolated[2].gpu_tile(x, y, c, xi, yi, ci, 8, 16, 4); interpolated[4].unroll(x, 2); normalize.gpu_tile(x, y, c, xi, yi, ci, 16, 8, 3); "
34.080749,51,454.181973,0.064358533,"interpolated[7].unroll(c, 4); normalize.gpu_tile(x, y, c, xi, yi, ci, 32, 8, 3); interpolated[3].gpu_tile(x, y, c, xi, yi, ci, 16, 8, 4); downsampled[5].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); interpolated[1].gpu_tile(x, y, c, xi, yi, ci, 16, 8, 4); downsampled[1].gpu_tile(x, y, c, xi, yi, ci, 16, 8, 4); "
-186.46383,219,1141.175124,0.18294177,n/a
-177.5003,255,1938.159295,0.093834837,n/a
-208.575562,295,2731.171106,0.186362037,n/a
-195.75401,234,3548.111056,0.195775175,n/a
-253.379382,269,4405.199824,0.262671531,n/a
-73.482079,140,4876.730822,0.201457043,n/a
-184.0,180,5625.442834,0.307652181,n/a
-240.034462,313,6473.930583,0.144702549,n/a
-23.549201,131,6844.908495,0.060143542,"downsampled[3].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); downsampled[7].gpu_tile(x, y, c, xi, yi, ci, 8, 16, 4); downsampled[1].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); normalize.bound(x, 0, 3848); interpolated[2].gpu_tile(x, y, c, xi, yi, ci, 16, 8, 4); interpolated[4].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); interpolated[2].unroll(c, 2); downx[8].compute_at(downsampled[8], c); interpolated[5].unroll(y, 2); interpolated[4].unroll(xi, 2); interpolated[1].gpu_tile(x, y, c, xi, yi, ci, 16, 16, 4); downsampled[4].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); interpolated[2].unroll(xi, 3); downsampled[4].unroll(yi, 3); interpolated[7].unroll(c, 3); downsampled[3].unroll(xi, 2); interpolated[5].unroll(x, 3); interpolated[6].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); interpolated[4].unroll(yi, 2); downsampled[3].unroll(yi, 3); interpolated[2].unroll(yi, 4); interpolated[2].unroll(x, 2); interpolated[2].unroll(c, 4); interpolated[6].unroll(c, 4); downsampled[4].unroll(ci, 2); interpolated[1].unroll(c, 3); interpolated[6].unroll(c, 3); normalize.gpu_tile(x, y, c, xi, yi, ci, 32, 8, 3); "
