EpThisIter,ev_tdlam_before,TimeElapsed,loss_kl,EpRewMean,EpLenMean,loss_pol_surr,loss_ent,EpisodesSoFar,EpExecMean,TimestepsSoFar,loss_vf_loss,loss_pol_entpen
6,-0.019907116889953613,235.5870485305786,0.048071496,47.19541619875171,40.5,-0.11350797,4.4744596,6,0.13589794983333334,243,484.7547,-0.13423379
2,0.1315503716468811,549.0612070560455,0.025486398,31.705768311804228,49.125,-0.075668156,4.4573298,8,0.103684423,393,259.89697,-0.1337199
2,0.26104843616485596,733.9293687343597,0.045964316,26.74099588622413,61.3,-0.07696867,4.409434,10,0.0837666021,613,290.62347,-0.13228302
4,0.3133378028869629,915.5143721103668,0.044896834,19.18754389146248,68.28571428571429,-0.099747434,4.401745,14,0.10847761642857143,956,186.9382,-0.13205235
3,0.5081157088279724,1120.7185037136078,0.04443589,20.289864727216514,67.88235294117646,-0.096761934,4.3548293,17,0.10987343641176471,1154,178.45216,-0.13064489
4,0.4224745035171509,1275.2261943817139,0.07101123,16.201927620048718,71.28571428571429,-0.10711097,4.2305613,21,0.09015771395238095,1497,159.65878,-0.12691684
10,0.2722455859184265,1506.6232209205627,0.087653846,26.880228296447967,57.483870967741936,-0.10492507,4.192191,31,0.07656757596774193,1782,405.88675,-0.12576573
15,0.46656519174575806,1726.6485576629639,0.0687619,34.43232110070774,44.19565217391305,-0.109665364,4.0993547,46,0.08764513706521741,2033,536.40564,-0.12298064
25,0.4759534001350403,2015.1830246448517,0.050923847,41.13650314474033,32.352112676056336,-0.1042746,4.0498238,71,0.07309874894366197,2297,535.93365,-0.1214947
17,0.42705464363098145,2258.0829017162323,0.05704011,44.981462012262995,29.079545454545453,-0.105899245,4.061302,88,0.06605345270454545,2559,453.29025,-0.121839054
29,0.5641801655292511,2580.302491903305,0.04520081,56.2044279790417,16.55,-0.114966705,3.8671772,117,0.04184901378,2809,711.17017,-0.116015315
15,0.4451240301132202,2780.7147872447968,0.04429226,62.785629864365276,12.32,-0.101206034,3.8861384,132,0.03622438862,3032,397.7755,-0.116584145
44,0.5091208815574646,3201.8157289028168,0.11700201,65.51739533828454,9.83,-0.12521113,3.686808,176,0.03497064816999999,3326,1055.7496,-0.11060424
25,0.6730910539627075,3471.4835109710693,0.059672426,67.06460972499977,9.27,-0.092340186,3.6157832,201,0.032088239039999994,3558,453.0235,-0.108473495
18,0.6474991738796234,3783.2106239795685,0.071942426,68.31653649192472,10.16,-0.0900641,3.5111504,219,0.033959850629999996,3838,332.22815,-0.105334505
26,0.607761561870575,4036.483611345291,0.05867414,71.78508683295209,9.47,-0.09059523,3.6417603,245,0.033385055469999994,4094,553.0607,-0.10925281
18,0.6333485245704651,4247.955963850021,0.08089102,73.07451471043505,10.97,-0.09751107,3.4602814,263,0.0291991656,4352,275.64526,-0.10380844
58,0.6860020756721497,4666.566984176636,0.08440788,77.06140393587287,7.57,-0.089286655,2.9629889,321,0.039384773020000007,4601,598.62946,-0.08888967
40,0.6984127759933472,4973.164490699768,0.04761058,78.65937671847846,5.16,-0.063869946,3.2876277,361,0.03734564504,4861,302.3448,-0.09862883
49,0.6343766450881958,5369.386652469635,0.08561449,80.79428293673016,5.56,-0.07437563,3.1877594,410,0.03512578033000001,5119,518.63965,-0.09563278
37,0.7159500122070312,5696.861240386963,0.04238892,83.41401876146004,5.94,-0.044913936,3.2972276,447,0.02189398949,5370,230.22447,-0.09891683
33,0.5431368052959442,5949.359718322754,0.06380966,79.08925004228294,6.69,-0.05761408,3.513474,480,0.020879146720000002,5630,177.84225,-0.10540422
34,0.7574072629213333,6239.8296065330505,0.048605304,76.0536064612564,7.31,-0.058298018,3.5466018,514,0.023571484200000003,5888,267.13165,-0.106398046
30,0.707907497882843,6573.14634680748,0.046239644,75.75864136556724,7.95,-0.05764948,3.400312,544,0.0351641839,6142,272.50278,-0.102009356
41,0.8025166988372803,6882.66069817543,0.042116515,77.50352365634764,7.15,-0.050107807,3.3835702,585,0.03351913745000001,6381,209.56267,-0.1015071
0,-1.3493034839630127,7021.036217451096,0.074147515,77.50352365634764,7.15,-0.075727835,4.2802057,585,0.03351913745000001,6381,137.48111,-0.12840617
0,-0.006945252418518066,7029.259075164795,0.09949457,77.50352365634764,7.15,-0.037102595,4.2602525,585,0.03351913745000001,6381,109.077896,-0.12780757
12,0.7182791829109192,7162.733087062836,0.07689713,68.9031747106777,14.01,-0.06417754,3.9263446,597,0.029482379710000006,7159,190.97485,-0.11779034
31,0.6674227714538574,7510.021741628647,0.06100579,69.72499242091786,13.99,-0.060461454,3.551809,628,0.02696703958,7421,296.76562,-0.10655427
25,0.775264635682106,7776.946441888809,0.042423166,70.53488603576032,14.74,-0.03147181,3.5197093,653,0.01889716424,7671,123.383766,-0.105591275
42,0.757988914847374,8159.142132282257,0.07733075,74.97631596761829,7.94,-0.053774193,3.4217148,695,0.02451266539,7935,208.29065,-0.10265143
25,0.7475985884666443,8457.039519786835,0.11655137,73.12657249294604,8.37,-0.079310626,3.2543917,720,0.02754697025,8190,162.53479,-0.09763175
55,0.8481414467096329,8841.500584602356,0.031296052,75.17266702695338,6.18,-0.046752635,2.8215418,775,0.021996240610000002,8448,163.95395,-0.08464625
56,0.8605241924524307,9270.75016117096,0.048635207,80.82566476268431,4.76,-0.05473282,2.6249642,831,0.018906004719999998,8704,238.69571,-0.07874893
46,0.5665199160575867,9655.50597858429,0.09888008,78.82726425094786,5.07,-0.039424926,2.8721375,877,0.03247209855,8959,512.69556,-0.08616413
