#{"env_id": "HalideHarris-v4", "t_start": 1533697876.1989849}
r,l,t,best_exec,best_schedule
94.990831,2,12.246834,0.008253145,"shifted.bound(x, 0, 3848); shifted.gpu_tile(x, y, xi, yi, 32, 32); "
-35.784666,55,54.095894,0.601514061,n/a
43.678833,66,125.528062,0.035256579,n/a
98.030287,2,133.298842,0.006425049,"shifted.gpu_tile(x, y, xi, yi, 128, 8); "
-14.042164,113,217.992148,0.159296724,n/a
96.299376,5,232.44043,0.004642141,"shifted.bound(y, 0, 2568); shifted.gpu_tile(x, y, xi, yi, 16, 16); "
-126.922071,145,386.90701,0.010083894,n/a
97.39572,5,402.992292,0.004003791,"shifted.gpu_tile(x, y, xi, yi, 32, 32); shifted.unroll(xi, 2); shifted.unroll(yi, 2); "
-68.799076,200,636.013859,0.005294459,n/a
82.562889,20,658.445411,0.002896178,"shifted.bound(x, 0, 3848); shifted.gpu_tile(x, y, xi, yi, 32, 16); shifted.unroll(yi, 3); "
-67.057066,180,735.177805,0.007003824,n/a
-9.0,14,764.078409,0.662572314,n/a
15.432371,97,819.073268,0.003760953,n/a
61.84035,52,885.912511,0.007683518,n/a
-27.25853,117,969.496163,0.154104583,n/a
34.569543,74,1025.12541,0.009477811,n/a
68.991073,7,1032.836399,0.185579395,n/a
-121.329576,135,1122.6743,0.00321675,n/a
23.287106,85,1166.248282,0.004723436,n/a
80.482855,22,1178.77696,0.010052186,n/a
12.872394,101,1233.343284,0.007471202,n/a
-37.841812,44,1276.42563,0.004260947,n/a
56.384789,50,1304.040169,0.004076217,n/a
75.199221,20,1359.998621,0.084814416,n/a
48.214574,56,1375.810016,0.005204013,n/a
-7.0,10,1386.731624,0.004856204,n/a
87.283702,15,1404.185497,0.004745995,n/a
83.505971,18,1412.235471,0.009899024,n/a
66.372347,32,1456.05786,0.063790165,n/a
78.564755,25,1478.51547,0.002883816,"shifted.gpu_tile(x, y, xi, yi, 64, 16); shifted.unroll(yi, 3); shifted.unroll(yi, 4); shifted.unroll(xi, 2); "
42.363051,15,1493.609704,0.295752065,n/a
58.632728,18,1508.003822,0.174702244,n/a
-6.0,9,1520.38022,0.00635402,n/a
70.085754,34,1540.379425,0.006057544,n/a
97.394448,3,1546.641268,0.010637945,n/a
-12.0,13,1550.504939,0.007672274,n/a
86.284682,16,1581.471495,0.004739499,n/a
87.073315,17,1597.732008,0.006139957,n/a
79.53621,26,1638.007132,0.003072947,n/a
83.994785,18,1657.428358,0.006660275,n/a
-17.0,21,1674.12407,0.662572314,n/a
0.0,1,1674.133779,0.662572314,n/a
81.885565,9,1688.38643,0.086892614,n/a
-14.761996,18,1699.809062,0.003272274,n/a
73.394996,27,1704.283092,0.010634313,n/a
82.079208,21,1715.978505,0.006100916,n/a
81.247378,21,1732.047328,0.004986668,n/a
91.398706,12,1754.840336,0.010609729,n/a
0.0,3,1765.654082,0.004793417,n/a
-3.0,5,1772.669608,0.00767884,n/a
0.0,2,1778.661144,0.005210998,n/a
93.429043,10,1791.170259,0.010408726,n/a
93.396827,11,1821.617354,0.003996458,n/a
86.017187,11,1826.792328,0.005195562,n/a
-5.0,7,1835.279534,0.00531569,n/a
88.752481,15,1856.13162,0.008265715,n/a
94.39781,6,1867.353739,0.010615666,n/a
85.144467,17,1879.440721,0.005668528,n/a
54.144361,27,1904.768452,0.164686585,n/a
87.993105,11,1911.441319,0.004621468,n/a
-7.429535,10,1919.520599,0.006867982,n/a
95.204107,7,1927.997292,0.005273366,n/a
95.39801,5,1935.660538,0.010614339,n/a
70.94844,6,1943.069261,0.172610427,n/a
93.395449,7,1950.807287,0.01063131,n/a
-10.623373,14,1963.738016,0.005202268,n/a
97.394026,3,1967.739604,0.010640739,n/a
-9.85561,13,1979.658235,0.006827126,n/a
-3.0,4,1983.340676,0.004784827,n/a
89.452075,13,1998.950995,0.010256122,n/a
-22.0,24,2008.276986,0.662572314,n/a
92.080641,10,2016.331308,0.006091417,n/a
85.964006,16,2028.796273,0.006864211,n/a
64.980722,9,2030.952721,0.185647979,n/a
