loss_kl,ev_tdlam_before,TimestepsSoFar,loss_pol_surr,loss_vf_loss,EpLenMean,EpThisIter,EpExecMean,loss_ent,EpisodesSoFar,EpRewMean,loss_pol_entpen,TimeElapsed
0.036576826,0.0034782886505126953,219,-0.09631093,682.6145,27.375,8,0.0008443373750000001,4.2118826,8,62.47414557727811,-0.12635647,242.0749490261078
0.042793326,0.10781818628311157,506,-0.102761045,628.5973,26.63157894736842,11,0.0013247861578947367,4.1580267,19,61.584782094692116,-0.1247408,475.92938256263733
0.038882576,0.28449010848999023,759,-0.08208788,284.10596,29.192307692307693,7,0.0011634133846153845,4.126976,26,52.33364717722142,-0.12380928,675.108320236206
0.04596272,0.45572251081466675,1010,-0.08231934,114.91792,33.666666666666664,4,0.0010911745666666664,4.0961223,30,44.883313623016456,-0.12288367,846.5965690612793
0.06541757,0.46650779247283936,1245,-0.107822075,412.07263,31.923076923076923,9,0.0010063089743589744,3.999691,39,47.469764353879405,-0.11999073,1049.5049529075623
0.051471047,0.3492875099182129,1467,-0.12464769,661.7348,27.67924528301887,14,0.0012343576981132076,3.9613118,53,54.375398762944734,-0.11883936,1341.3017964363098
0.064354636,0.20770269632339478,1780,-0.0864723,107.42251,32.36363636363637,2,0.0012183621090909092,4.033275,55,50.68718648443525,-0.120998256,1432.9893102645874
0.043078102,0.3906134366989136,2021,-0.10084162,211.78714,33.131147540983605,6,0.001160119770491803,3.944417,61,48.765025797448835,-0.11833251,1567.38130569458
0.09328009,0.6015579104423523,2299,-0.09888284,333.38605,30.653333333333332,14,0.00109091892,3.7037044,75,48.442111827100845,-0.111111134,1781.2419180870056
0.061916444,0.5230278372764587,2557,-0.08797785,828.78284,23.38,33,0.00167528003,3.7000077,108,49.732297032523974,-0.11100023,2102.9169504642487
0.045178514,0.49373871088027954,2806,-0.08355191,611.77124,14.92,34,0.0021804587900000004,3.7489114,142,52.923615769814724,-0.11246733,2419.2933266162872
0.041958228,0.5020383298397064,2961,-0.08819949,216.18556,11.81,13,0.00203642439,3.793501,155,54.72182349703955,-0.113805026,2620.282848596573
0.06846923,0.46786385774612427,3322,-0.07273481,66.38994,14.23,3,0.0020503158299999998,3.9681804,158,52.37471412234448,-0.11904541,2676.499966621399
0.044829555,0.3592299818992615,3578,-0.037709575,310.6278,12.48,22,0.0022483235900000002,3.575472,180,53.243746170148825,-0.10726416,2923.323741674423
0.12231839,0.35509437322616577,3837,-0.103097394,210.64667,14.27,13,0.0019929761500000003,3.58461,193,51.48200487098525,-0.107538305,3096.0781660079956
0.051574655,0.49532264471054077,4093,-0.06576273,504.78046,14.24,30,0.0013777610299999998,3.442867,223,53.379121954170586,-0.10328601,3431.4011628627777
0.06902689,0.6682039499282837,4200,-0.077420905,129.28764,14.44,12,0.0013841305799999998,3.6421635,235,57.26662161265519,-0.1092649,3608.0779955387115
0.07971455,0.23379379510879517,4200,-0.059139505,14.868294,14.44,0,0.0013841305799999998,3.7103438,235,57.26662161265519,-0.11131031,3658.989665031433
0.066041395,0.4993426203727722,4864,-0.061349556,353.42377,14.61,34,0.00132088515,3.428021,269,61.647006705410774,-0.10284062,3966.6190037727356
0.06538555,0.5976161062717438,5118,-0.041284956,331.32758,11.89,32,0.00178070134,3.326214,301,66.02917370838878,-0.099786416,4287.457721233368
0.06719532,0.6868192851543427,5376,-0.0657259,316.89215,7.59,35,0.0018164335499999994,3.3498788,336,74.05640999020339,-0.10049635,4630.134981870651
0.1691914,0.7123822569847107,5628,-0.04903502,160.95169,8.71,21,0.0016550645899999997,3.082199,357,73.08063894602496,-0.09246597,4894.689721822739
0.04439763,0.7249607741832733,5880,-0.04521671,281.57834,7.72,43,0.00136187714,3.0955448,400,69.41022040427616,-0.09286634,5230.277953624725
0.07084795,0.6806261837482452,6144,-0.044986296,248.80301,7.28,39,0.0020847560700000003,2.9743454,439,62.05264602222388,-0.089230366,5579.60001206398
0.04986991,0.7180820405483246,6398,-0.05347265,344.93594,5.54,54,0.00198804961,2.9306378,493,61.78172839963936,-0.08791914,5987.4053773880005
0.05500004,0.7238892316818237,6631,-0.043408282,255.47456,4.87,46,0.00143183847,2.955287,539,66.19439145860248,-0.08865861,6397.436885595322
0.070722245,0.7645711600780487,6909,-0.04585015,250.82489,5.56,42,0.0011962456400000003,2.852882,581,70.93235192868377,-0.08558644,6786.645827531815
